case_id,intent,customer_message,draft_reply,judge_intent_score,judge_grounding_score,judge_helpfulness_score,judge_unsupported_claim_score,judge_overall_score,judge_reason
CASE_007140,KEYBOARD_TYPING_AUTOCORRECT,"Every OS update @AppleSupport @115858 This device may not be supported.  It's your darn device!! @AppleSupport ipad pro &amp; the keyboard bought with it is the device. Yes it is connected (I mean I get its Halloween) @AppleSupport Yep, taken care of all those prior actually...went there yesterday but thank you","We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Settings.
2. General.
3. Keyboard.
4. Go to Settings > General > Keyboard > Text Replacement and remove any erroneous autocorrect shortcuts.
5. Remove erroneous text replacement shortcuts.
6. Settings.
7. General.
8. Reset.
9. Go to Settings > General > Reset > Reset Keyboard Dictionary.

Please let us know if this helps resolve the issue.",2,2,2,2,5,Intent matching is strong; Grounding is fully verified; Actionability is high.
CASE_000601,KEYBOARD_TYPING_AUTOCORRECT,"@AppleSupport Can you help me with a 10.5” iPad Pro Apple keyboard bug? Type but no output on screen. Happens about three times a day. Toggling to lock screen and back helps. Also, once a week it starts deleting text like you’re holding delete key. Would appreciate any help. @AppleSupport Hi. It looks like it’s resolved but thank you. D @AppleSupport Thanks. Running 11.1.2. Noticed for ages, months.","We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Clean display & remove screen protector/case.
2. Force restart your device (press and hold the Power and Volume Down / Home buttons until the Apple logo appears).
3. Update iOS or backup and restore via iTunes.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/42YQu2SoDY",1,2,2,2,4,Intent matching is partial; Grounding is fully verified; Actionability is high.
CASE_000604,BATTERY_CHARGING_POWER,"@AppleSupport my wifes iPhone 8 is hung up, how do I do a hard restart? @AppleSupport I had found all those solutions, and none worked.  I turned on the flashlight, ran the battery out until it shut off.  Then charged and on.😶","We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Check Settings > Battery to review battery health and identify apps consuming excessive background power.
2. Settings.
3. Check Settings > Battery to review battery health and identify apps consuming excessive background power.
4. Go to Settings > General > Background App Refresh and turn it off for apps you don't need running constantly.
5. Monitor Battery Drain.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/o7nB3pXfMv",1,2,2,2,4,Intent matching is partial; Grounding is fully verified; Actionability is high.
CASE_003014,BATTERY_CHARGING_POWER,"@AppleSupport Powerbeats 3 stopped working after 3 months. Won’t turn on or charge. Seems I’m not the only one. Plz fix for Powerbeats 4. @AppleSupport @159983 Thanks. I already got a replacement pair, but I just don’t want this to be a recurring problem.","We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Check Settings > Battery to review battery health and identify apps consuming excessive background power.
2. Settings.
3. Check Settings > Battery to review battery health and identify apps consuming excessive background power.
4. Go to Settings > General > Background App Refresh and turn it off for apps you don't need running constantly.
5. Monitor Battery Drain.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/GDrqU22YpT",1,2,2,2,4,Intent matching is partial; Grounding is fully verified; Actionability is high.
CASE_004304,BATTERY_CHARGING_POWER,"Photos in #macOS High Sierra is SO buggy — I can't imagine it was in a hand of a single QA. And I even waited till 10.13.1. @AppleSupport you either charge for upgrades again or keep the half-done stuff for yourself. As a paying customer I say 👎 @AppleSupport Thanks! The problems are: freezes during just browsing photos (with arrow keys), SUPER SLOW editing of RAWs (iMac 27"" mid 2017), and random crashes if I keep using the app without restarts (all reports sent) 😓 @AppleSupport These problems are not specific to my case, but you know it probably https://t.co/UHXqi83PNg","We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Connect to Wi-Fi and power source.
2. Settings.
3. General.
4. Connect to Wi-Fi and power, then go to Settings > General > Software Update to install the latest available update.
5. Ensure sufficient free storage or update via iTunes.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/GDrqU22YpT",1,2,2,2,4,Intent matching is partial; Grounding is fully verified; Actionability is high.
CASE_001377,BATTERY_CHARGING_POWER,All I want to do is charge my phone. But noooo. The new iOS update won’t let me. 🙄🙄 @115858 @AppleSupport @AppleSupport 11.1.2 iPhone 7+ @AppleSupport It says that this device is not supported when I plug it into my car to charge. Or however that message is worded. @AppleSupport An iPhone cord and a car charger. This is the only cord it does it with. And it started after I updated my phone. Worked perfectly before.,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Check Settings > Battery to review battery health and identify apps consuming excessive background power.
2. Settings.
3. Check Settings > Battery to review battery health and identify apps consuming excessive background power.
4. Go to Settings > General > Background App Refresh and turn it off for apps you don't need running constantly.
5. Monitor Battery Drain.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/uqxquyfdn0",2,2,2,2,5,Intent matching is strong; Grounding is fully verified; Actionability is high.
CASE_000047,CONNECTIVITY_WIFI_BLUETOOTH,@115858 need a update for iOS 11 where the WiFi doesn’t turn itself on ALL THE TIME- Tia @AppleSupport I’m turning it off from the control center I believe,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Toggle Airplane Mode on, wait a few seconds, then turn it back off.
2. Go to Settings > Wi-Fi, tap the info icon next to your network, select 'Forget This Network', and reconnect.
3. Settings.
4. General.
5. Reset.
6. Go to Settings > General > Reset > Reset Network Settings (note: this will reset saved Wi-Fi passwords).

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/MWcJwF3cgD",2,2,2,2,5,Intent matching is strong; Grounding is fully verified; Actionability is high.
CASE_002801,CONNECTIVITY_WIFI_BLUETOOTH,Why this stupid ios keeps turning the wifi and bluetooth on every time???  @AppleSupport @AppleSupport I have the lastest version and I keep turning them off from the control center and they keep turning on @AppleSupport Got it. Thanks,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Toggle Airplane Mode on, wait a few seconds, then turn it back off.
2. Go to Settings > Wi-Fi, tap the info icon next to your network, select 'Forget This Network', and reconnect.
3. Settings.
4. General.
5. Reset.
6. Go to Settings > General > Reset > Reset Network Settings (note: this will reset saved Wi-Fi passwords).

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/G7BHuQnDS6",2,2,2,2,5,Intent matching is strong; Grounding is fully verified; Actionability is high.
CASE_004317,CONNECTIVITY_WIFI_BLUETOOTH,"Yo @AppleSupport you want to fix the connectivity issues with iOS 11.1 please? Pretty annoying I can’t even use my phone after updating 😡 @AppleSupport My apps that require internet keep saying “cannot connect” or “error cannot refresh” even tho I have data or WiFi 😭 @AppleSupport Okay thank you. I’ll try that. Also my phone has been getting uncomfortably warm, but it happens pretty randomly, suggestions? @AppleSupport I have the iPhone 7plus Red Edition @AppleSupport Thanks!","We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Toggle Airplane Mode on, wait a few seconds, then turn it back off.
2. Go to Settings > Wi-Fi, tap the info icon next to your network, select 'Forget This Network', and reconnect.
3. Settings.
4. General.
5. Reset.
6. Go to Settings > General > Reset > Reset Network Settings (note: this will reset saved Wi-Fi passwords).

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/Ui1yTnOCUz",2,2,2,2,5,Intent matching is strong; Grounding is fully verified; Actionability is high.
CASE_002674,CONNECTIVITY_WIFI_BLUETOOTH,"And @AppleSupport UKmail service is terrible can’t find my parcel and no phone number to call, their online form doesn’t work,give me a clue @AppleSupport Just have done thanks","We'd be glad to look into this with you. To help us provide the right troubleshooting steps, could you please let us know which device model and iOS version you're currently using?",1,1,1,2,3,Intent matching is partial; Grounding is provisional; Actionability is moderate.
CASE_001300,OS_UPDATE_SYSTEM_PERFORMANCE,"@AppleSupport 
Please help me my phone makes restart with itself every minute 😭😭 @AppleSupport Okay thanks for this reply and being here","We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Connect to Wi-Fi and power source.
2. Settings.
3. General.
4. Connect to Wi-Fi and power, then go to Settings > General > Software Update to install the latest available update.
5. Ensure sufficient free storage or update via iTunes.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/osZOKKTalm",1,2,2,2,4,Intent matching is partial; Grounding is fully verified; Actionability is high.
CASE_004378,OS_UPDATE_SYSTEM_PERFORMANCE,Hey @115858 can you please fix this “I️” glitch? I’m looking like an idiot when i text. @AppleSupport Ok thanks I appreciate it,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Connect to Wi-Fi and power source.
2. Settings.
3. General.
4. Connect to Wi-Fi and power, then go to Settings > General > Software Update to install the latest available update.
5. Ensure sufficient free storage or update via iTunes.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/xXaXeeSRt9",2,2,2,2,5,Intent matching is strong; Grounding is fully verified; Actionability is high.
CASE_001382,OS_UPDATE_SYSTEM_PERFORMANCE,"@AppleSupport hey, i just downloaded the new IOS update and my iphone keeps clicking things and type by itself what should i do? @AppleSupport Iphone7 version 11.2 @AppleSupport No i didn’t but i will now, thanks💕","We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Connect to Wi-Fi and power source.
2. Settings.
3. General.
4. Connect to Wi-Fi and power, then go to Settings > General > Software Update to install the latest available update.
5. Ensure sufficient free storage or update via iTunes.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/80YRnjDFDk",2,2,2,2,5,Intent matching is strong; Grounding is fully verified; Actionability is high.
CASE_004676,OS_UPDATE_SYSTEM_PERFORMANCE,"@115858 @AppleSupport Con última actualización iOS11.0.3 mi iPhone7 funciona pésimo se actualiza solo, dice no reconocer SIM 👎🏻 https://t.co/8J5G4UlCQw @AppleSupport OK thanks, the last update of #iOS “11.0.3”, my iPhone it works terrible updates itself and does not recognize SIM #IDontLike  👎🏻","We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Connect to Wi-Fi and power source.
2. Settings.
3. General.
4. Connect to Wi-Fi and power, then go to Settings > General > Software Update to install the latest available update.
5. Ensure sufficient free storage or update via iTunes.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/5KootZbxj1",2,2,2,2,5,Intent matching is strong; Grounding is fully verified; Actionability is high.
CASE_002624,ACCOUNT_APPLEID_ICLOUD,"So @AppleSupport, I thought login screens were a solved problem https://t.co/jsrq8i1aQA @AppleSupport Restart resolves it, but as a developer, loads of work context is in terminals. This is uncool... Hope it’s a KI fixed in High Sierra @AppleSupport N.b thanks for replying, this is just frustration after several times it happened over the last 3mo...","We'd be glad to look into this with you. To help us provide the right troubleshooting steps, could you please let us know which device model and iOS version you're currently using?",1,1,1,2,3,Intent matching is partial; Grounding is provisional; Actionability is moderate.
CASE_000858,ACCOUNT_APPLEID_ICLOUD,"@AppleSupport woke up to an email saying my password was reset and logged into this account.. how can I make sure he is out of my account?😫 https://t.co/bOFroRLQWf @AppleSupport I think it was a legit email, also ‘John’ was showing active on my devices. Thanks! https://t.co/fqcuC1b9Og @AppleSupport Thank you - done! ☺️","We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Visit iforgot.apple.com to securely reset your Apple ID password.
2. Verify Two-Factor Authentication (2FA).
3. Settings.
4. Apple ID.
5. iCloud storage management.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/LNMCdqt6fD",2,2,2,2,5,Intent matching is strong; Grounding is fully verified; Actionability is high.
CASE_002917,ACCOUNT_APPLEID_ICLOUD,@AppleSupport restored my phone earlier and backed my photos up to iCloud and not sure how to get them back??? @408258 @AppleSupport Just upgraded from 6+ to 7+. Same problem. iCloud and settings all seem to be set the same. Help @applesupport? @AppleSupport About 3 hours ago and none yet @AppleSupport Thanks for following up. My photos are back on the phone! Woohoo! @AppleSupport They’re back!☺️,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Visit iforgot.apple.com to securely reset your Apple ID password.
2. Verify Two-Factor Authentication (2FA).
3. Settings.
4. Apple ID.
5. iCloud storage management.

Please let us know if this helps resolve the issue.",2,2,2,2,5,Intent matching is strong; Grounding is fully verified; Actionability is high.
CASE_000982,ACCOUNT_APPLEID_ICLOUD,@AppleSupport I need to downgrade a storage plan for an Apple ID that I don’t use any more. How do I do that without it being complicated? Thanks in advance! :-) @AppleSupport Ok thank you!,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Visit iforgot.apple.com to securely reset your Apple ID password.
2. Verify Two-Factor Authentication (2FA).
3. Settings.
4. Apple ID.
5. iCloud storage management.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/UJm15vmMM2",1,2,2,2,4,Intent matching is partial; Grounding is fully verified; Actionability is high.
CASE_002000,AUDIO_SOUND_SPEAKER,"Why can't I use my headset on my iPad mini 2? It just stopped working @AppleSupport @AppleSupport I tried my Samsung earbuds, and another headset. Neither worked, but Bluetooth and the speaker in the iPad works. @AppleSupport Wireless are working, wired ones aren't working. I tested the wired one sin my phone, and they worked. @AppleSupport It worked 🙌 thank you! @AppleSupport You too","We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Settings.
2. Check Settings > Sounds & Haptics to verify ringer volume and alerts.
3. Check Settings > Sounds & Haptics to verify ringer volume and alerts.
4. Check Do Not Disturb & Ring/Silent switch.
5. Clean speaker mesh & disconnect Bluetooth accessories.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/GDrqU22YpT",1,2,2,2,4,Intent matching is partial; Grounding is fully verified; Actionability is high.
CASE_002970,AUDIO_SOUND_SPEAKER,"Any help appreciated: My original @AppleSupport headphones volume control don’t work on my iPhone6s. They work on other phones so issue 1/2 @AppleSupport Not with headphones but rather the iPhone 6s. Any ideas? @AppleSupport 2/2 @AppleSupport Hey guys, yes I have @AppleSupport Yes, just not on the headphones. Using 11.0.2 @AppleSupport It seems to have happened after a previous version update. @AppleSupport @415482 NO CAIGAN! ES UNA TRAMPA PARA QUE LES DEJE DE FUNCIONAR Y TENGAN QUE COMPRAR OTRO @AppleSupport Well, I ruled that out. Instead, I managed to find the root of the problem. A build of dust that was jammed up there. Sorted now","We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Settings.
2. Check Settings > Sounds & Haptics to verify ringer volume and alerts.
3. Check Settings > Sounds & Haptics to verify ringer volume and alerts.
4. Check Do Not Disturb & Ring/Silent switch.
5. Clean speaker mesh & disconnect Bluetooth accessories.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/4Kux8rhhGX",1,2,2,2,4,Intent matching is partial; Grounding is fully verified; Actionability is high.
CASE_001884,AUDIO_SOUND_SPEAKER,@AppleSupport can I get rid of the new update? It has seriously messed up my phone. It freezes every few minutes and I cant hear phone calls @AppleSupport I have an iphone 6 and yes I have the latest version of the iOS 11 update.,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Connect to Wi-Fi and power source.
2. Settings.
3. General.
4. Connect to Wi-Fi and power, then go to Settings > General > Software Update to install the latest available update.
5. Ensure sufficient free storage or update via iTunes.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/GDrqU2kzhr",2,2,2,2,5,Intent matching is strong; Grounding is fully verified; Actionability is high.
CASE_004856,AUDIO_SOUND_SPEAKER,"@AppleSupport Hi.Updated from iPhone 5 to 8 &amp; now cannot connect headphones 🎧 to 8 via Bluetooth never had probs on 5. What’s gone wrong? @AppleSupport hi I worked from this menu b4 I contacted you. All up to date, turned off/on Btooth phone on/off even did network reset @AppleSupport 
Current version iOS 11.0.3","We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Toggle Airplane Mode on, wait a few seconds, then turn it back off.
2. Go to Settings > Wi-Fi, tap the info icon next to your network, select 'Forget This Network', and reconnect.
3. Settings.
4. General.
5. Reset.
6. Go to Settings > General > Reset > Reset Network Settings (note: this will reset saved Wi-Fi passwords).

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/GDrqU22YpT",2,2,2,2,5,Intent matching is strong; Grounding is fully verified; Actionability is high.
CASE_006609,HOW_TO_SETTINGS_CONFIGURATION,@115858 would I be asked to verify my bank details and personal details suddenly? Is this legitimately @AppleSupport how do I know it’s not a #hack? @AppleSupport Thank you.,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Open Settings app.
2. Navigate to relevant feature menu.
3. Toggle desired setting or configure in Control Center.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/LNMCdqbuR3",1,2,2,2,4,Intent matching is partial; Grounding is fully verified; Actionability is high.
CASE_007689,HOW_TO_SETTINGS_CONFIGURATION,@AppleSupport I would like to report a spam email I just received regarding my apple account. Let me know where can I Foward the email. #Apple #Spam https://t.co/yn2f1nFIHU @AppleSupport Thanks for your quick response! 😉,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Verify device model and serial number in Settings > General > About.
2. Check official Apple Support documentation.
3. Contact Apple Authorized Service Provider if needed.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/6Ye6EtSytB",2,2,2,2,5,Intent matching is strong; Grounding is fully verified; Actionability is high.
CASE_003794,HOW_TO_SETTINGS_CONFIGURATION,"@AppleSupport hey Apple, how do I uninstall an iMessage application?","We'd be glad to look into this with you. To help us provide the right troubleshooting steps, could you please let us know which device model and iOS version you're currently using?",1,1,1,2,3,Intent matching is partial; Grounding is provisional; Actionability is moderate.
CASE_003206,HOW_TO_SETTINGS_CONFIGURATION,@AppleSupport why does my phone always act up every time Apple releases a new phone? Why? @AppleSupport I have an iPhone 6. My apps keep force closing. My podcast library keeps having to be restored. My text thread is out of order. @AppleSupport My calls keep deleting. Messages that I send delete from the thread. @AppleSupport And there isn't any internal damage. And I cannot figure out how to use these dang .99 storage I pay for @AppleSupport No. I haven't been able to because of storage issues. But I pay for extra storage so I don't understand. @AppleSupport What is the point of buying more storage then? @AppleSupport This is a scam lol thanks friends,"We'd be glad to look into this with you. To help us provide the right troubleshooting steps, could you please let us know which device model and iOS version you're currently using?",1,1,1,2,3,Intent matching is partial; Grounding is provisional; Actionability is moderate.
CASE_004921,APP_CRASH_AND_DOWNLOAD,@1313 hello do you support any more @115858 watch? Because crashing all time and is slow!! @579587 @1313 @115858 I’ve been asking the same question over and over again..no response yet..really frustrating we're not receiving support on this platform @AppleSupport The problem is not with your product...it's with a third party app that runs slow and buggy on the Apple Watch...thanks for your response!,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Verify device model and serial number in Settings > General > About.
2. Check official Apple Support documentation.
3. Contact Apple Authorized Service Provider if needed.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/s6t9pl6tpv",2,2,2,2,5,Intent matching is strong; Grounding is fully verified; Actionability is high.
CASE_002027,APP_CRASH_AND_DOWNLOAD,@AppleSupport My iPhone 6s froze twice after closing from my messages and trying to open up Instagram. Had to hard-shut off. Any tips? @AppleSupport iOS 11.0.2 @AppleSupport Thanks! Didn’t know there was a new Update!,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Connect to Wi-Fi and power source.
2. Settings.
3. General.
4. Connect to Wi-Fi and power, then go to Settings > General > Software Update to install the latest available update.
5. Ensure sufficient free storage or update via iTunes.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/GDrqU22YpT",1,2,2,2,4,Intent matching is partial; Grounding is fully verified; Actionability is high.
CASE_001824,APP_CRASH_AND_DOWNLOAD,"@115858 why is my phone constantly freezing? help?? @AppleSupport Like i’ll be watching youtube and every 5 minuets it freezes my phone and i have to turn lock the phone again, for it to take another 2 minuets for the lockscreen to work and let me on the phone. it’s never happened before so i don’t think it’s a problem with the phone. :| @AppleSupport No not really. @AppleSupport Thanks!!","We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Connect to Wi-Fi and power source.
2. Settings.
3. General.
4. Connect to Wi-Fi and power, then go to Settings > General > Software Update to install the latest available update.
5. Ensure sufficient free storage or update via iTunes.

Please let us know if this helps resolve the issue.",1,2,2,2,4,Intent matching is partial; Grounding is fully verified; Actionability is high.
CASE_005069,APP_CRASH_AND_DOWNLOAD,"Why is my phone still getting stuck in apps and freezing. I’ve been stuck in whatsapp for 50 million minutes 😤 @115858 #iphone @599989 @115858 have you done a hard reset? @599990 @115858 I’ve done everything apart from throwing it against the wall mate 😐 @AppleSupport Thanks, message sent.","We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Force close the app by swiping up from the bottom of your screen, then relaunch it or check the App Store for updates.
2. Check App Store for app updates.
3. Delete and reinstall app from App Store.

Please let us know if this helps resolve the issue.",1,2,1,2,4,Intent matching is partial; Grounding is fully verified; Actionability is moderate.
CASE_002891,APP_STORE_PURCHASES_BILLING,"Question: if you have DVDs, and they don’t include a digital copy, can you still load them on iTunes? @AppleSupport @AppleSupport Thanks anyway, on a side note, does anyone have use for 250+ dvds?","We'd be glad to look into this with you. To help us provide the right troubleshooting steps, could you please let us know which device model and iOS version you're currently using?",0,1,1,2,3,Intent matching is partial; Grounding is provisional; Actionability is moderate.
CASE_005556,APP_STORE_PURCHASES_BILLING,@118721 @AppleSupport I’ve been trying to buy an album for half an hour now and it’s just coming up with the square?????? https://t.co/ghctrcs0yx,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Verify device model and serial number in Settings > General > About.
2. Check official Apple Support documentation.
3. Contact Apple Authorized Service Provider if needed.

Please let us know if this helps resolve the issue.",1,2,2,2,4,Intent matching is partial; Grounding is fully verified; Actionability is high.
CASE_007907,APP_STORE_PURCHASES_BILLING,Until this issue is resolved I will tweet @115948 and @115858 daily. I want to be able to use my Apple Music app! I need my music! And I pay $14.99/month!,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Settings.
2. Apple ID.
3. Go to Settings > [Your Name] > Subscriptions to manage or review active subscriptions.
4. Go to Settings > [Your Name] > Subscriptions to manage or review active subscriptions.
5. Visit reportaproblem.apple.com to check your recent purchase history and submit a formal refund request.

Please let us know if this helps resolve the issue.",2,2,2,2,5,Intent matching is strong; Grounding is fully verified; Actionability is high.
