query_case_id,query_thread_id,query_intent,query_customer_text,retrieved_rank,retrieved_case_id,retrieved_intent,similarity_score,retrieved_customer_problem,retrieved_support_response,retrieved_outcome,relevance_score,relevance_label,relevance_rationale
CASE_002387,961113,APP_CRASH_AND_DOWNLOAD,@applesupport Why does #iMovie keep crashing. It’s crashed on me at least 8 times today. #frustrating I can’t finish my movie. @AppleSupport Thank you. I’ll have to try tomorrow.,1,CASE_006368,OS_UPDATE_SYSTEM_PERFORMANCE,0.8053,My Mac fucking up too @115858 @AppleSupport My I️ movie keeps force closing @AppleSupport See if y’all fixed the stupid I️ glitch. You would have known I️ said iMovie,"@692603 We'd love to help with your Mac! Let us know exactly what's going on. @692603 We want to help you to watch your movie uninterrupted, and without issue. Do you get an error message? If so, what does it say? Send us a DM with more details so we can help you out. https://t.co/GDrqU22YpT @692603 We'd like to take a closer look at both of the issues you're experiencing. To do that, please send us a Direct Message here: https://t.co/GDrqU22YpT",CLEARLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_002387,961113,APP_CRASH_AND_DOWNLOAD,@applesupport Why does #iMovie keep crashing. It’s crashed on me at least 8 times today. #frustrating I can’t finish my movie. @AppleSupport Thank you. I’ll have to try tomorrow.,2,CASE_006998,APP_CRASH_AND_DOWNLOAD,0.7975,"Anyone facing iMovie crashes with Mac OS Sierra update? Please help me with any fix? Cc: @115858 @AppleSupport @AppleSupport Sure, appreciate it!","@739964 Thanks for reaching out. Let's get you connected to our iMovie team. Please use this link to get in contact with them: https://t.co/IBIY3vMgPj
Select Apps &amp; Software &gt; Mac apps",PARTIALLY_RESOLVED,2,Strongly Relevant,Strong semantic alignment with identical customer symptom and actionable resolution.
CASE_002387,961113,APP_CRASH_AND_DOWNLOAD,@applesupport Why does #iMovie keep crashing. It’s crashed on me at least 8 times today. #frustrating I can’t finish my movie. @AppleSupport Thank you. I’ll have to try tomorrow.,3,CASE_006932,HOW_TO_SETTINGS_CONFIGURATION,0.6645,"@115858: Running MACBook Pro with SierraOS. iMOVIES keeps giving me this error.... didn't do it before I updated to SierraOS. Any clues as to whats up?
#apple #ERROR https://t.co/494AtFwT8h @AppleSupport Many thanks... I'll give them a call later. At the moment, am having to prep all my work on a Windows which isn't rendering my videos to the optimal #YouTube settings (unless anyone has any suggestions on how to overcome this?)",@143052 Thanks for reaching out to us. Our iMovie Support Team will be happy to assist you here: https://t.co/1OxnSOXiWG,CLEARLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_002067,827465,APP_CRASH_AND_DOWNLOAD,"#Xcode crashes when trying to change #UITableView Style to Grouped. Did anyone face this issue before? #iOS #iPhone @115858 #iosDeveloper https://t.co/4g5GOkzDDs @AppleSupport @AppleSupport reported, thanks!",1,CASE_005101,APP_CRASH_AND_DOWNLOAD,0.5586,@AppleSupport Are you aware of https://t.co/jtBKL09r6D on iOS 11.1 crashing at launch? @AppleSupport I am all set now. I deleted the https://t.co/jtBKL09r6D from my iPhone 7 and reinstalled it. Thank you for the reply.,"@607777 Let's look into this together. Send us a DM with the device you're experiencing this on, and we'll go from there. https://t.co/GDrqU22YpT",PARTIALLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_002067,827465,APP_CRASH_AND_DOWNLOAD,"#Xcode crashes when trying to change #UITableView Style to Grouped. Did anyone face this issue before? #iOS #iPhone @115858 #iosDeveloper https://t.co/4g5GOkzDDs @AppleSupport @AppleSupport reported, thanks!",2,CASE_001357,GENERAL_DEVICE_INQUIRY,0.545,"Have updated to the latest iOS and issues persist. Not sure what’s happening but this is really annoying on a daily basis. @AppleSupport @115858 @6126 @AppleSupport Have sent you guys multiple screenshots of the malfunctioning. @AppleSupport Thank you. I don't feel like I'm repeating myself, i actually AM repeating myself. big difference.",@249916 We want to help. Please let us know in DM what issues you're experiencing and we'll go from there. https://t.co/GDrqU22YpT @249916 We apologize if you feel like you're repeating yourself. We're eager to get to the bottom of what's happening. Please reach out to our phone or chat support here:  https://t.co/IBIY3vMgPj https://t.co/GDrqU22YpT,CLEARLY_RESOLVED,0,Irrelevant,Divergent customer issue or low semantic relevance score.
CASE_002067,827465,APP_CRASH_AND_DOWNLOAD,"#Xcode crashes when trying to change #UITableView Style to Grouped. Did anyone face this issue before? #iOS #iPhone @115858 #iosDeveloper https://t.co/4g5GOkzDDs @AppleSupport @AppleSupport reported, thanks!",3,CASE_001993,APP_CRASH_AND_DOWNLOAD,0.5437,@115858 @AppleSupport I can’t believe how my iphone works since iOS 11.0.2. Every app crash my phone. What the hell?! FIX IT!!!! 😠😠 #iOSCrash @AppleSupport Thanks but it’s clearly an iOS problem. It fails even with basic Apple Apps. Thanks for the answer and I’ll keep looking for an iOS update 😞,"@311629 Let's work to get those apps working. Check out the steps in this article to try to resolve the issue: https://t.co/fUZ0NRJxcn @311629 iOS 11.0.3 is available now. Be sure to try out all the steps in the article, including updating &amp; let us know if it persists.",PARTIALLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_006797,2547271,APP_CRASH_AND_DOWNLOAD,@115858 well you’ve outdone yourselves on shocking service for a faulty 3 month old iPhone that I’m stuck with yet you have my money. @1647 @AppleSupport Thanks I’ve done so,1,CASE_005986,APP_STORE_PURCHASES_BILLING,0.7942,@115858 fix this I️ shit! I️ pay too much money for these phones to be this annoyed! #apple @AppleSupport Thank you,"@172499 We recently released an iOS update, 11.1.1, that contains a fix for autocorrect issues. Let’s be sure to back up your device prior to updating. How to back up: https://t.co/4f8hwT5to6 @172499 We’re glad we could assist you. Please feel free to contact us back if you have any other questions or concerns.",PARTIALLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_006797,2547271,APP_CRASH_AND_DOWNLOAD,@115858 well you’ve outdone yourselves on shocking service for a faulty 3 month old iPhone that I’m stuck with yet you have my money. @1647 @AppleSupport Thanks I’ve done so,2,CASE_001601,OS_UPDATE_SYSTEM_PERFORMANCE,0.7607,@115858 thank you for the software update which seems to have ruined my phone. @AppleSupport Will do,"@266418 We’d like to look into this. To get started, please DM us about the issues you've been experiencing and the current software version. https://t.co/GDrqU22YpT",PARTIALLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_006797,2547271,APP_CRASH_AND_DOWNLOAD,@115858 well you’ve outdone yourselves on shocking service for a faulty 3 month old iPhone that I’m stuck with yet you have my money. @1647 @AppleSupport Thanks I’ve done so,3,CASE_000637,GENERAL_DEVICE_INQUIRY,0.7464,@115858 um yeah I'd just like to know why my phone has been screwing up so bad...it started when the new iPhones that I can't afford came out,@185755 Can you tell us a bit about the trouble you're running into? We're happy to help get your iPhone working like it should be!,CLEARLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_002456,1004998,APP_CRASH_AND_DOWNLOAD,"Apple sucks... brand new iPhone crashes every fucking day @115858 @AppleSupport 11.1.2, iPhone 8+ only 2-3 weeks old.",1,CASE_007088,APP_CRASH_AND_DOWNLOAD,0.8293,@115858 get ur shit together man my brand new iphone crashes like 7 times a day @AppleSupport Oh and this is ever since ios 11 lol @AppleSupport Does all that shit @AppleSupport @749156 iOS 11 sucks @749157 @AppleSupport Facts,"@749156 Thanks for reaching out. We'd like to know more to help. Does this occur when using a specific app? Also, which iOS does this occur on? Let us know and we'll continue. @749156 Have you noticed any pattern as to when this issues happen? Does the phone restart or just become completely unresponsive? How do you regain control? 
 What applications are you using when this happens? That info will help us plan out our next steps. @749156 Which iOS are you currently running? Check here: Settings &gt; General &gt; About &gt; Version. Our newest version is iOS 11.1.2. If you're not running that, please update and let us know if your issues continue: https://t.co/80YRnjDFDk",PARTIALLY_RESOLVED,2,Strongly Relevant,Strong semantic alignment with identical customer symptom and actionable resolution.
CASE_002456,1004998,APP_CRASH_AND_DOWNLOAD,"Apple sucks... brand new iPhone crashes every fucking day @115858 @AppleSupport 11.1.2, iPhone 8+ only 2-3 weeks old.",2,CASE_006063,APP_CRASH_AND_DOWNLOAD,0.7807,@AppleSupport 2nd crash in 1 day.. iPhone 7.. upgraded to ios11.. this is so bad @AppleSupport Thanks for reaching out I’m guna go to one of your stores and get them to look at it.. disappointing tho not had this experience with an apple product before. Hopefully store can rectify - thanks!,"@672416 We'd like to help. Send us over a DM with your current location, as well as the exact iOS 11 version you're running.  We'll go from there. https://t.co/GDrqU22YpT @672416 No problem!  Reach back out if we can be of any assistance.",CLEARLY_RESOLVED,2,Strongly Relevant,Strong semantic alignment with identical customer symptom and actionable resolution.
CASE_002456,1004998,APP_CRASH_AND_DOWNLOAD,"Apple sucks... brand new iPhone crashes every fucking day @115858 @AppleSupport 11.1.2, iPhone 8+ only 2-3 weeks old.",3,CASE_006419,OS_UPDATE_SYSTEM_PERFORMANCE,0.7412,I love Apple so much but y’all bullshitting... stop fucking playing with me y’all better get yaself together @115858 my phone fucking up and I’m not the only fucking one complaining. @AppleSupport I have a iphone 6s and an iOS 11 and my phone keep crashing i have try to reset my phone and it’s still doing it and i have turned off my phone 4 times already. @AppleSupport Ios 11.1 n my phone keeps doing this. https://t.co/RUBtgrZSc7,"@695764 We'd love to help with any issues you're experiencing. So that we have a clear understanding, please let us know which device you're using and exactly what's going on, including the version number of iOS installed. @695764 Thanks for providing that for us. Can you confirm which version of iOS 11 you're using? This can be located in Settings &gt; General &gt; About &gt; Version.",PARTIALLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_006743,2519453,APP_STORE_PURCHASES_BILLING,"WTF...I can't switch to my new phone because iTunes says the backup from my iPhone 7 isn't compatible with iPhone X. What gives, @AppleSupport? https://t.co/xfyK4jTdUB",1,CASE_003557,APP_STORE_PURCHASES_BILLING,0.7275,@AppleSupport why won’t my new #iPhoneX restore from my backup from last night? @AppleSupport It it was corrupt I backed up my phone on my work computer w old iTunes and it worked fine No reason why it shouldn’t have worked @AppleSupport That is correct. Corrupt or incompatible with my phone.,"@477458 Congratulations on the new iPhone, we'd be happy to help. Are you getting any error message? If so what does it day? @477458 Just to make sure we understand, are you saying you got an error stating the backup was corrupt? @477458 Which version of iOS 11 was your previous iPhone running? Have you updated the iPhone X? Give that a try, let us know what happens.",CLEARLY_RESOLVED,2,Strongly Relevant,Strong semantic alignment with identical customer symptom and actionable resolution.
CASE_006743,2519453,APP_STORE_PURCHASES_BILLING,"WTF...I can't switch to my new phone because iTunes says the backup from my iPhone 7 isn't compatible with iPhone X. What gives, @AppleSupport? https://t.co/xfyK4jTdUB",2,CASE_006895,GENERAL_DEVICE_INQUIRY,0.709,@AppleSupport I've really hit a dead end here - I'm trying to back up my 7 to my macbook air before I set up my new iPhone X but no matter what I do I can't back it up. Been at it for hours i'm so frustrated @AppleSupport So problem has been solved actually but thank you for getting back to me anyway  🙏🏻,@518453 No need to worry. We'd love to help out with your concern. Can you let us know specifically what's happening when you attempt to back up; do you get an error message? We'll take a look. @518453 You're welcome.  We are happy to hear it is resolved.,PARTIALLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_006743,2519453,APP_STORE_PURCHASES_BILLING,"WTF...I can't switch to my new phone because iTunes says the backup from my iPhone 7 isn't compatible with iPhone X. What gives, @AppleSupport? https://t.co/xfyK4jTdUB",3,CASE_001571,OS_UPDATE_SYSTEM_PERFORMANCE,0.6832,"@115858 received my iPhone X yesterday, while transferring data from iPhone 7 to X, it didn’t restore to the latest backup. 😞 So I don’t have all the photos &amp; data I need on the new iPhone X. @27892 &amp; @27893 couldn’t contain their excitement until the setup was complete.🙄 @AppleSupport I’ll try again. Thank you.","@262101 Hi there! If you'd like, you can go back and follow these steps to get everything transferred over: https://t.co/lOVrD5pu5o",CLEARLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_003534,1536979,APP_STORE_PURCHASES_BILLING,"@AppleSupport I'm trying to sync the music from iTunes onto my iPod and every time it's almost done it cancels the sync?? @AppleSupport I've sorted it, thank you :)",1,CASE_002068,CONNECTIVITY_WIFI_BLUETOOTH,0.7266,"I hate @115858. My iPod no longer adds my newly purchased songs and my music won't pull up at all now, only this: https://t.co/EwsYujeIKr @AppleSupport Nothing whatsoever. Finally got rid of it by turning it off in settings, disconnecting Wi-Fi, and restarting. Stupid. @AppleSupport But I still can't get my music synced. MY music. @AppleSupport Yes, it does, but when I sync, the new songs don't get added. @AppleSupport My new iTunes songs finally added when I linked to my computer over WiFi (hate that), but I had to manually adjust playlists. @AppleSupport Meanwhile, the new album download I added which came with a vinyl will not sync no matter what I try. @AppleSupport There needs to be a way to plug in and sync EVERYTHING that's checked like has always worked before. @AppleSupport Tried again. Still didn't work and removed the tracks I'd previously synced over WiFi. https://t.co/xgz5PpZXov @AppleSupport https://t.co/UzJzbr4zK3","@317131 We're happy to help you out with this. What happens when you tap Go To My Music under Try It Now? @317131 When you connect your iPod to iTunes, does the screen show Sync Music like in step 5 of this article?  https://t.co/biks8MpbiM @317131 Send us a DM. We'll work with you from there. https://t.co/GDrqU22YpT @317131 Hello Amanda, thanks for sending those screenshots, we'd like to continue working with you on this. DM us. https://t.co/GDrqU22YpT",CLEARLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_003534,1536979,APP_STORE_PURCHASES_BILLING,"@AppleSupport I'm trying to sync the music from iTunes onto my iPod and every time it's almost done it cancels the sync?? @AppleSupport I've sorted it, thank you :)",2,CASE_002322,APP_STORE_PURCHASES_BILLING,0.6859,@AppleSupport my playlists have disappeared off my iPod and won’t resync from iTunes?? @AppleSupport I sorted it but thanks!,"@342222 We're happy to help out with your playlists. When you attempt to sync are you getting an error? Also, which iPod model is this? @342222 No problem. Feel free to reach out to us anytime. We're always here to help.",CLEARLY_RESOLVED,2,Strongly Relevant,Strong semantic alignment with identical customer symptom and actionable resolution.
CASE_003534,1536979,APP_STORE_PURCHASES_BILLING,"@AppleSupport I'm trying to sync the music from iTunes onto my iPod and every time it's almost done it cancels the sync?? @AppleSupport I've sorted it, thank you :)",3,CASE_004069,GENERAL_DEVICE_INQUIRY,0.6788,"I LOVE Apple, but WTH @AppleSupport? I’ve looked all over the page you sent me to to cancel AppleMusic. No freaking success. @AppleSupport Many thanks. This was very easy using my MacBook. :-)","@434554 We can help! If you're unable to unsubscribe with the steps from this article, we can continue in DM: https://t.co/YKDbvueXrq https://t.co/GDrqU22YpT @434554 You're very welcome!",CLEARLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_007474,2783294,APP_STORE_PURCHASES_BILLING,"My ipod is having issues loading songs. Oddly only the songs I didnt rip from CDs are affected.  Well played @115858 well played..... @AppleSupport it's likely my hard drive guys, I've worked with you for weeks to figure it out and nothing seems to fix it.  went as high as a senior staff member.  you guys couldn't find anything wrong with your systems. @AppleSupport I was trying to be witty.  because I'm hoping a new hard drive will fix it.  didn't expect you guys to actually answer  :)  tweeting about my problems in a funny ""poke fun at myself"" way. @AppleSupport Im waiting on black friday deals to get a new HD. Already got a new cord, did diagnostics/virus scan nothing fixed it. Moved library to main drive and it transferred. So gonna try a new external this one is from 2015. @AppleSupport If that doesnt work, I will be back. Because the only things left to replace is the actual computer and the actual ipod. Ipod is almost 2 years old now, computer is maybe 3. @AppleSupport Ipod seems fine, laptop seems fine too after i did all that. So gonna try this approach",1,CASE_003098,APP_STORE_PURCHASES_BILLING,0.649,"Suddenly I can't transfer CDs to my ipod. And some tracks already on my ipod won't play. Why, @AppleSupport? @AppleSupport 1/ Thanks. I'm doing what I used to do 2 successfully sync, but CDs I put onto iTunes won't transfer to my iPod. Worse, some that were... @AppleSupport ...on my iPod won't play - greyed out. Tried to follow instructions but did not help.",@432492 We'd love to assist you. What happens when you try to sync? Are you following the guidance here? https://t.co/LvlpsBrAlD @432492 Are you an Apple Music or iTunes Match member? What is the iOS version installed?,CLEARLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
