query,true_intent,baseline_top1,domain_top1,example_type,notes
@AppleSupport you should be ashamed. My Mac downloaded High Sierra &amp; now I can’t log into it. After trying to fix it myself I took it to,GENERAL_DEVICE_INQUIRY,ACCOUNT_APPLEID_ICLOUD,GENERAL_DEVICE_INQUIRY,CORRECTED_ERROR,Distinguishing symptom terms elevated GENERAL_DEVICE_INQUIRY over baseline ACCOUNT_APPLEID_ICLOUD.
"I️ got old navy PJ’s, they had German shepherds on them &amp; I️ started crying in the store lmao This is so frustrating my @115858 fix this",BATTERY_CHARGING_POWER,AUDIO_SOUND_SPEAKER,BATTERY_CHARGING_POWER,CORRECTED_ERROR,Distinguishing symptom terms elevated BATTERY_CHARGING_POWER over baseline AUDIO_SOUND_SPEAKER.
What is with the weird I️ thing??? How do I stop it @583075 Dear @115858 I️ absolutely hate your iOS 11 update. I️ I️ I️ I️ I️ FIX THIS BALO,ACCOUNT_APPLEID_ICLOUD,GENERAL_DEVICE_INQUIRY,ACCOUNT_APPLEID_ICLOUD,CORRECTED_ERROR,Distinguishing symptom terms elevated ACCOUNT_APPLEID_ICLOUD over baseline GENERAL_DEVICE_INQUIRY.
".@115858 completely screwed-up (THEIR OWN) weather &amp; clock apps with the last update. Thanks a lot. 🤨  

@AppleSupport #Apple #Iphone @A",OS_UPDATE_SYSTEM_PERFORMANCE,OS_UPDATE_SYSTEM_PERFORMANCE,GENERAL_DEVICE_INQUIRY,CONTEXT_DEBIASED,OS update context de-biased in favor of underlying OS_UPDATE_SYSTEM_PERFORMANCE symptom.
"so disappointed by @115858. After upgrading my iPhone7(recommended by the company), everything now is messed up. The battery with the least ",BATTERY_CHARGING_POWER,APP_CRASH_AND_DOWNLOAD,APP_CRASH_AND_DOWNLOAD,MULTI_ISSUE_ESCALATION,Multiple symptoms detected; safely routed with decision_hint=ESCALATE_MULTI_ISSUE.
Why didn’t I consult Twitter before attempting the #HighSierra update. 36 hours and counting... @AppleSupport https://t.co/ZaLHKqVNRQ @Apple,OS_UPDATE_SYSTEM_PERFORMANCE,OS_UPDATE_SYSTEM_PERFORMANCE,GENERAL_DEVICE_INQUIRY,CONTEXT_DEBIASED,OS update context de-biased in favor of underlying OS_UPDATE_SYSTEM_PERFORMANCE symptom.
@AppleSupport woke up to an email saying my password was reset and logged into this account.. how can I make sure he is out of my account?😫 ,ACCOUNT_APPLEID_ICLOUD,ACCOUNT_APPLEID_ICLOUD,ACCOUNT_APPLEID_ICLOUD,MULTI_ISSUE_ESCALATION,Multiple symptoms detected; safely routed with decision_hint=ESCALATE_MULTI_ISSUE.
"I really need @115858 to fix the letter I and the calculator glitch. 🙄. @AppleSupport Ok, thank you. I️ haven’t updated to that version yet.",KEYBOARD_TYPING_AUTOCORRECT,OS_UPDATE_SYSTEM_PERFORMANCE,KEYBOARD_TYPING_AUTOCORRECT,CONTEXT_DEBIASED,OS update context de-biased in favor of underlying KEYBOARD_TYPING_AUTOCORRECT symptom.
Hey @115858 if I get what seems to be an iPhone message that “New Carrier Settings are Available” and select “update”. ... is this a valid i,CONNECTIVITY_WIFI_BLUETOOTH,OS_UPDATE_SYSTEM_PERFORMANCE,GENERAL_DEVICE_INQUIRY,CONTEXT_DEBIASED,OS update context de-biased in favor of underlying CONNECTIVITY_WIFI_BLUETOOTH symptom.
@115858 can y’all please make an update that WORKS my maps keep crashing i’m trying to find the most efficient way to get to a d*ck APPT!!!!,APP_CRASH_AND_DOWNLOAD,OS_UPDATE_SYSTEM_PERFORMANCE,APP_CRASH_AND_DOWNLOAD,CONTEXT_DEBIASED,OS update context de-biased in favor of underlying APP_CRASH_AND_DOWNLOAD symptom.
