case_id,thread_root_id,query_intent,customer_message,grounding_status,generation_mode,resolution_pattern,draft_reply,resolution_faithfulness,grounding_pass,unsupported_claims,severity
CASE_002606,1080456,BATTERY_CHARGING_POWER,Ok now that iOS 11 is out how do I turn off auto brightness @AppleSupport @AppleSupport I know how to do that but my brightness automatically goes up and down and it’s killing my battery I remember you could turn it off @AppleSupport Thank you,GROUNDED,EVIDENCE_BACKED_ACTION,Check iOS Version & Battery Health → Settings → Battery Usage to identify drain → Disable Background App Refresh & Restart device → Monitor Battery Drain,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Check Settings > Battery to review battery health and identify apps consuming excessive background power.
2. Settings.
3. Check Settings > Battery to review battery health and identify apps consuming excessive background power.
4. Go to Settings > General > Background App Refresh and turn it off for apps you don't need running constantly.
5. Monitor Battery Drain.

Please let us know if this helps resolve the issue.",PASS,True,None,NONE
CASE_007318,2736427,BATTERY_CHARGING_POWER,"@AppleSupport How come with the new updates the iPod never fully charged (only gets to 99%) &amp; the battery drains in less than 2 hours? @AppleSupport iOS 11.1.2 &amp; I think iPod Touch 6th generation @AppleSupport There’s no message. @AppleSupport Thanks. However, the battery still only charges to 99%.",GROUNDED,EVIDENCE_BACKED_ACTION,Check iOS Version & Battery Health → Settings → Battery Usage to identify drain → Disable Background App Refresh & Restart device → Monitor Battery Drain,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Check Settings > Battery to review battery health and identify apps consuming excessive background power.
2. Settings.
3. Check Settings > Battery to review battery health and identify apps consuming excessive background power.
4. Go to Settings > General > Background App Refresh and turn it off for apps you don't need running constantly.
5. Monitor Battery Drain.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/bivpdfBNJ6",PASS,True,None,NONE
CASE_005780,2285584,BATTERY_CHARGING_POWER,iOS 11 is great for battery life: NOT! 10% per hour on low power mode. Don’t upgrade.   @115858 its terrible!! @AppleSupport @115858  thanks for reply. V11.1.1 (15B150).  I read the first few days it drains due to cache updates? Welcome your help!,GROUNDED,EVIDENCE_BACKED_ACTION,Check iOS Version & Battery Health → Settings → Battery Usage to identify drain → Disable Background App Refresh & Restart device → Monitor Battery Drain,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Check Settings > Battery to review battery health and identify apps consuming excessive background power.
2. Settings.
3. Check Settings > Battery to review battery health and identify apps consuming excessive background power.
4. Go to Settings > General > Background App Refresh and turn it off for apps you don't need running constantly.
5. Monitor Battery Drain.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/TpjqFp3jxD",PASS,True,None,NONE
CASE_000245,119483,BATTERY_CHARGING_POWER,@AppleSupport can you tell me why the new updates now make my iphone6s die at 40% battery? Or if charged overnight to 100% it dies as soon as its unlocked @AppleSupport Thanks for looking into this for me. I’m using iOS version 11.1.2(15B202),GROUNDED,EVIDENCE_BACKED_ACTION,Check iOS Version & Battery Health → Settings → Battery Usage to identify drain → Disable Background App Refresh & Restart device → Monitor Battery Drain,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Check Settings > Battery to review battery health and identify apps consuming excessive background power.
2. Settings.
3. Check Settings > Battery to review battery health and identify apps consuming excessive background power.
4. Go to Settings > General > Background App Refresh and turn it off for apps you don't need running constantly.
5. Monitor Battery Drain.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/GDrqU22YpT",PASS,True,None,NONE
CASE_006394,2412963,CONNECTIVITY_WIFI_BLUETOOTH,"@AppleSupport 11.1.1 update. Wi-fi no longer works. Can't toggle it on. @AppleSupport @AppleSupport iphone 5s @AppleSupport Yes, after 11.1.1. Option is greyed out. Unable to turn on in Control Center and in settings. Thank you. @AppleSupport yes, and force restart, and reset network settings",GROUNDED,EVIDENCE_BACKED_ACTION,Toggle Airplane Mode on and off → Forget Wi-Fi Network & Reconnect → Settings → General → Reset → Reset Network Settings,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Toggle Airplane Mode on, wait a few seconds, then turn it back off.
2. Go to Settings > Wi-Fi, tap the info icon next to your network, select 'Forget This Network', and reconnect.
3. Settings.
4. General.
5. Reset.
6. Go to Settings > General > Reset > Reset Network Settings (note: this will reset saved Wi-Fi passwords).

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/bWm9giK0jB",PASS,True,None,NONE
CASE_003493,1516647,CONNECTIVITY_WIFI_BLUETOOTH,@AppleSupport  Watch on os4 does not change time to reflect local time zone after coming off airplane mode. Phone adjusts. They do connect. @AppleSupport No. Right now watch show east coast time but phone shows central time @AppleSupport It has worked regularly in the past. First trip since update to os4 @AppleSupport 4.0 (15R372) @AppleSupport Phone loaded 11.0.3 update after I got home. Watch went to correct local time without restarting watch @AppleSupport Given how seamlessly this worked before I’m not sure restarting devices every time I cross time zones is a long-term answer,EVIDENCE_INSUFFICIENT,CLARIFY_OR_ESCALATE,Toggle Airplane Mode on and off → Forget Wi-Fi Network & Reconnect → Settings → General → Reset → Reset Network Settings,"We'd be glad to look into this with you. To help us provide the right troubleshooting steps, could you please let us know which device model and iOS version you're currently using?",NOT_APPLICABLE,True,None,NONE
CASE_004339,1709202,CONNECTIVITY_WIFI_BLUETOOTH,My IPhone glitch is that it won’t stay connected to any WiFi. @AppleSupport ? @AppleSupport Thank you. I did all of these and no dice. I’m using an iPhone 8. @AppleSupport I can’t get the update because I can’t connect to WiFi.,GROUNDED,EVIDENCE_BACKED_ACTION,Toggle Airplane Mode on and off → Forget Wi-Fi Network & Reconnect → Settings → General → Reset → Reset Network Settings,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Toggle Airplane Mode on, wait a few seconds, then turn it back off.
2. Go to Settings > Wi-Fi, tap the info icon next to your network, select 'Forget This Network', and reconnect.
3. Settings.
4. General.
5. Reset.
6. Go to Settings > General > Reset > Reset Network Settings (note: this will reset saved Wi-Fi passwords).

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/sXbhzfS2lM",PASS,True,None,NONE
CASE_001614,619528,CONNECTIVITY_WIFI_BLUETOOTH,@AppleSupport Does MacBook Air 2015 support Dual-Band Wi-Fi and if so where can I conform it? @AppleSupport I had looked at that ! Before Tweeting to you'll ! But it's not mentioned there so can you please confirm it ? @AppleSupport Thank you for your response!,EVIDENCE_INSUFFICIENT,SAFE_ESCALATION,Toggle Airplane Mode on and off → Forget Wi-Fi Network & Reconnect → Settings → General → Reset → Reset Network Settings,"We'd be glad to look into this with you. To help us provide the right troubleshooting steps, could you please let us know which device model and iOS version you're currently using?",NOT_APPLICABLE,True,None,NONE
CASE_002091,845855,DISPLAY_TOUCH_SCREEN,"@AppleSupport just me or is Display Calibrator Assistant broken in 10.13, skips past ""Set Up"" stage so you can only alter the white point? @AppleSupport Thanks, I hadn't tried turning off ""Automatically adjust brightness"" before, but I have now and I'm afraid the problem remains. https://t.co/deU8cUyXWe",EVIDENCE_INSUFFICIENT,CLARIFY_OR_ESCALATE,Clean display & remove screen protector/case → Force Restart device (Power + Volume/Home) → Update iOS or backup and restore via iTunes,"We'd be glad to look into this with you. To help us provide the right troubleshooting steps, could you please let us know which device model and iOS version you're currently using?",NOT_APPLICABLE,True,None,NONE
CASE_002206,876361,DISPLAY_TOUCH_SCREEN,"@AppleSupport hello everyone , now i am facing the worst experince using iphone 6 after the ios 11 software update , thats really horrible @AppleSupport IOS 11.0.2 , i really can’t find words to describe how upset and angry i feel @AppleSupport I think that is not effective bescause i have the same errors with the iOS 11, 11.0.1 , 11.0.2 then you see that solution in iOS 11.0.3 !!!! @AppleSupport I already backed up my phone before i update to 11.0.2 so this is really not making any difference @AppleSupport @328062 IOS 11 11.0.1 11.0.2 11.0.3 are junk I have a ipad mini 4 basically the same as a 6 and it is horrid now Apple you know the truth why do @AppleSupport Ok and what if the problem is still exist after updating , so what will be your solution for that ???) @AppleSupport Here find some of what i face here , my phone switched off suddenly without any reason , (2) while am using any app and i received a call @AppleSupport The screen freeze on the app while the phone is ringing and when its allow me to answer guess what ? The phone call freeze too and drop off @AppleSupport And when find something else , while am trying to open settings its take looong time to load settings screen , really ???! @AppleSupport @328062 You keep telling people to do methods that won't work? I mean seriously @AppleSupport I really was need your help and you help me with nothing , then thank you so much for that useless and unprofessional support , @AppleSupport @AppleSupport and i will really will spread my horrible experince with you , so thank you again for being do not care about your customers!! @176402 @AppleSupport @328062 Mine works fine @328063 @AppleSupport @328062 I am glad you are not having issues kush but thousands and thousands of people are though.",GROUNDED,EVIDENCE_BACKED_ACTION,Clean display & remove screen protector/case → Force Restart device (Power + Volume/Home) → Update iOS or backup and restore via iTunes,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Clean display & remove screen protector/case.
2. Force restart your device (press and hold the Power and Volume Down / Home buttons until the Apple logo appears).
3. Update iOS or backup and restore via iTunes.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/GDrqU22YpT",PASS,True,None,NONE
CASE_003236,1396238,DISPLAY_TOUCH_SCREEN,"Dear @115858 ever since your IOS 11 update, my screen on my iPad air2 keeps flipping even though it’s locked. It’s annoying, please fix @AppleSupport It’s locked in portrait but flips to landscape @AppleSupport Thank you. Appreciated",GROUNDED,EVIDENCE_BACKED_ACTION,Clean display & remove screen protector/case → Force Restart device (Power + Volume/Home) → Update iOS or backup and restore via iTunes,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Clean display & remove screen protector/case.
2. Force restart your device (press and hold the Power and Volume Down / Home buttons until the Apple logo appears).
3. Update iOS or backup and restore via iTunes.

Please let us know if this helps resolve the issue.",PASS,True,None,NONE
CASE_000360,177846,DISPLAY_TOUCH_SCREEN,"@AppleSupport My iPhone won't backup to iCloud whenever I plug in. I've been trying all week and nothing will work. When I go to settings and click back up now, it never finishes. Would resetting all the settings fix things? @AppleSupport I've never backed up to iTunes, but yes I have a Mac that has iTunes and I've considered doing that before I reset the settings. But I bought this phone about 3 or 4 months ago, its a 7 plus, and it's never been backed up. @AppleSupport Im attempting a backup now. Got about 2 hours left but thought I'd try it again and set the lock screen to never so I can keep an eye on it. but when I've done it before, all it's told me is that the backup couldn't be completed @AppleSupport hey guys, the backup I did worked... but is there a way to make sure that it back ups automatically when I plug my phone in?",GROUNDED,EVIDENCE_BACKED_ACTION,Clean display & remove screen protector/case → Force Restart device (Power + Volume/Home) → Update iOS or backup and restore via iTunes,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Clean display & remove screen protector/case.
2. Force restart your device (press and hold the Power and Volume Down / Home buttons until the Apple logo appears).
3. Update iOS or backup and restore via iTunes.

Please let us know if this helps resolve the issue.",PASS,True,None,NONE
CASE_003148,1360108,GENERAL_DEVICE_INQUIRY,@AppleSupport is there a way to default off Live Photo’s that I’m just missing? #11.0.3 @AppleSupport Thx! I saw that setting but was just doing it wrong. #IOSprobs,GROUNDED,EVIDENCE_BACKED_ACTION,Verify device model and serial number in Settings > General > About → Check official Apple Support documentation → Contact Apple Authorized Service Provider if needed,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Verify device model and serial number in Settings > General > About.
2. Check official Apple Support documentation.
3. Contact Apple Authorized Service Provider if needed.

Please let us know if this helps resolve the issue.",PASS,True,None,NONE
CASE_000370,184406,GENERAL_DEVICE_INQUIRY,@115858 Videos in my photos are not playing ..I am using iPhone SE .. please help me playing my videos ! Thanks.,GROUNDED,EVIDENCE_BACKED_ACTION,Verify device model and serial number in Settings > General > About → Check official Apple Support documentation → Contact Apple Authorized Service Provider if needed,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Verify device model and serial number in Settings > General > About.
2. Check official Apple Support documentation.
3. Contact Apple Authorized Service Provider if needed.

Please let us know if this helps resolve the issue.",PASS,True,None,NONE
CASE_006091,2321957,GENERAL_DEVICE_INQUIRY,"phone dead ass does not work anymore... 😂😂 @115858 explain to me a 7+ that’s barely a year old, is hardly working now? why soon as i ordered the X, this joint start acting up?",EVIDENCE_INSUFFICIENT,CLARIFY_OR_ESCALATE,Verify device model and serial number in Settings > General > About → Check official Apple Support documentation → Contact Apple Authorized Service Provider if needed,"We'd be glad to look into this with you. To help us provide the right troubleshooting steps, could you please let us know which device model and iOS version you're currently using?",NOT_APPLICABLE,True,None,NONE
CASE_004456,1744888,GENERAL_DEVICE_INQUIRY,@AppleSupport how would I go about reporting a security (phishing) concern? @AppleSupport Thanks! Very much appreciated.,GROUNDED,EVIDENCE_BACKED_ACTION,Verify device model and serial number in Settings > General > About → Check official Apple Support documentation → Contact Apple Authorized Service Provider if needed,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Verify device model and serial number in Settings > General > About.
2. Check official Apple Support documentation.
3. Contact Apple Authorized Service Provider if needed.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/LNMCdqt6fD",PASS,True,None,NONE
CASE_002538,1046622,HOW_TO_SETTINGS_CONFIGURATION,"@AppleSupport Can @115858 implement a shortcut ""low power mode"" to the quick access icons 🙏 https://t.co/7c5hxjSKJd @AppleSupport 6; 10.3.2. I mean, even @198874 has this feature. 😂 @AppleSupport Nice 👌",EVIDENCE_INSUFFICIENT,SAFE_ESCALATION,Open Settings app → Navigate to relevant feature menu → Toggle desired setting or configure in Control Center,"We'd be glad to look into this with you. To help us provide the right troubleshooting steps, could you please let us know which device model and iOS version you're currently using?",NOT_APPLICABLE,True,None,NONE
CASE_005421,2178041,HOW_TO_SETTINGS_CONFIGURATION,"@AppleSupport Hi! Apparently Numbers will export .csv with commas or semicolons as separators depending on your language settings. Why can’t it be consistent worldwide?
I opened a topic. https://t.co/Kx29Vl0Cq2 @AppleSupport Thanks.",EVIDENCE_INSUFFICIENT,SAFE_ESCALATION,Open Settings app → Navigate to relevant feature menu → Toggle desired setting or configure in Control Center,"We'd be glad to look into this with you. To help us provide the right troubleshooting steps, could you please let us know which device model and iOS version you're currently using?",NOT_APPLICABLE,True,None,NONE
CASE_006891,2573940,HOW_TO_SETTINGS_CONFIGURATION,"@AppleSupport Hey. All of a sudden my playlists wont sync. This is a big problem for me. Please help. https://t.co/i0fW2kbbLN @AppleSupport Thanks, have DM'd",GROUNDED,EVIDENCE_BACKED_ACTION,Open Settings app → Navigate to relevant feature menu → Toggle desired setting or configure in Control Center,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Open Settings app.
2. Navigate to relevant feature menu.
3. Toggle desired setting or configure in Control Center.

Please let us know if this helps resolve the issue.",PASS,True,None,NONE
CASE_003206,1386579,HOW_TO_SETTINGS_CONFIGURATION,@AppleSupport why does my phone always act up every time Apple releases a new phone? Why? @AppleSupport I have an iPhone 6. My apps keep force closing. My podcast library keeps having to be restored. My text thread is out of order. @AppleSupport My calls keep deleting. Messages that I send delete from the thread. @AppleSupport And there isn't any internal damage. And I cannot figure out how to use these dang .99 storage I pay for @AppleSupport No. I haven't been able to because of storage issues. But I pay for extra storage so I don't understand. @AppleSupport What is the point of buying more storage then? @AppleSupport This is a scam lol thanks friends,EVIDENCE_INSUFFICIENT,CLARIFY_OR_ESCALATE,Open Settings app → Navigate to relevant feature menu → Toggle desired setting or configure in Control Center,"We'd be glad to look into this with you. To help us provide the right troubleshooting steps, could you please let us know which device model and iOS version you're currently using?",NOT_APPLICABLE,True,None,NONE
