query_case_id,thread_root_id,query_text,expected_intent,retrieved_intent_1,similarity_1,retrieved_case_1,retrieved_problem_1,failure_mode,explanation
CASE_001260,546572,"@AppleSupport Hi, since yesterday night my 6s is canceling every minute. Restart and backup doesn't solute this problem. Have you an idea? h",OS_UPDATE_SYSTEM_PERFORMANCE,GENERAL_DEVICE_INQUIRY,0.7148,CASE_001484,Hi @AppleSupport my old iPhone 6s is shutting down and bugging me out every 20 seconds 😞 please help https://t.co/Fxaxn1,1. Ultra-short or Vague Customer Query,Query lacks diagnostic specificity or symptom keywords; vector sits near generic dense region.
CASE_003182,1371889,@AppleSupport I completed the new iOS update and all of my pictures have been removed and I cannot find them! Can you help? @AppleSupport th,OS_UPDATE_SYSTEM_PERFORMANCE,GENERAL_DEVICE_INQUIRY,0.7744,CASE_006738,That’s my apps all updated but lost all my pictures thank you @115858 since this new iOS up date I lost everything!!!! @,1. Ultra-short or Vague Customer Query,Query lacks diagnostic specificity or symptom keywords; vector sits near generic dense region.
CASE_006022,2309065,Has anyone else noticed since updating your #iOS that your alarm is sooo quiet?? I’m afraid I’m going to sleep through it even though my vol,AUDIO_SOUND_SPEAKER,OS_UPDATE_SYSTEM_PERFORMANCE,0.7479,CASE_004701,So this new iPhone update puts your alarms on silent when you’re phone is on silent...@115858 are you trying to fuck up ,1. Ultra-short or Vague Customer Query,Query lacks diagnostic specificity or symptom keywords; vector sits near generic dense region.
CASE_001270,546697,@AppleSupport #iphone6 keeps rebooting and shows the loading screen. Happens every 2 mins! #Help!! @AppleSupport I’m on 11.1.2,DISPLAY_TOUCH_SCREEN,OS_UPDATE_SYSTEM_PERFORMANCE,0.8026,CASE_001206,@AppleSupport my iPhone 6 keeps on restarting. Started doing it this morning. I’m in the UK @AppleSupport All sorted tha,1. Ultra-short or Vague Customer Query,Query lacks diagnostic specificity or symptom keywords; vector sits near generic dense region.
CASE_000792,359308,@AppleSupport my (photo) apps shut themselves all-the-time on my ipad pro. Frustrating!! Can't do my work. What's going on? #ios11 @AppleSup,ACCOUNT_APPLEID_ICLOUD,APP_CRASH_AND_DOWNLOAD,0.7244,CASE_005137,"How sweet. 
iOS has a new update that fixes everything but the fact that my apps keep crashing or are unusable since the",2. Multi-Issue Compound Query,Customer described multiple simultaneous issues; single-vector embedding blends symptoms.
CASE_002957,1247330,@AppleSupport What’s the best way to clean a leather case for iPhone ?,GENERAL_DEVICE_INQUIRY,APP_CRASH_AND_DOWNLOAD,0.4466,CASE_001476,Iphone just froze during app cleaning (whatever that is). Can't even reboot it. Anyone with the same problem ? @AppleSup,4. Low-Confidence / Atypical Customer Phrasing,Customer used non-standard phrasing or colloquialisms with low semantic alignment to historical index.
CASE_003749,1583042,"@AppleSupport - Can Apple Gift Card, issued after recycling iPad, be used online at Apple against price for new iPod? TYVM! @AppleSupport Do",GENERAL_DEVICE_INQUIRY,APP_STORE_PURCHASES_BILLING,0.6314,CASE_000331,@AppleSupport hi i recently bought an itunes giftcard in pakistan for my ipad pro and it was a US one. How do i redeem i,2. Multi-Issue Compound Query,Customer described multiple simultaneous issues; single-vector embedding blends symptoms.
CASE_006042,2312418,"@AppleSupport, your last 2 updates have made my phone useless. Get your 💩 together and fix it",GENERAL_DEVICE_INQUIRY,OS_UPDATE_SYSTEM_PERFORMANCE,0.8051,CASE_004109,I️ didn’t even update my phone and my I’s are messing up.....what the hell @115858 @AppleSupport Thanks,2. Multi-Issue Compound Query,Customer described multiple simultaneous issues; single-vector embedding blends symptoms.
CASE_000868,389697,"@AppleSupport how do I delete podcasts easily, now that edit button is gone? @AppleSupport Thanks",HOW_TO_SETTINGS_CONFIGURATION,GENERAL_DEVICE_INQUIRY,0.6314,CASE_004350,"I updated @118721 this morning and now my podcasts are gone, so thanks, @115858, for the reminder of why I switched to A",5. Lexical Overlap with Distinct Root Cause,"Retrieved case shares lexical keywords (e.g. store, account, music) but addresses a distinct support action."
CASE_003927,1623854,"@115858 !!!!! Fix this I️ nonsense!!! 
COME. ON. @497393 @497395 @115858 I know how to fix it @497394 @497393 @115858 If I have to change al",HOW_TO_SETTINGS_CONFIGURATION,GENERAL_DEVICE_INQUIRY,0.7545,CASE_003946,@115858 hey we need a fix on this stuff with the I becoming a question mark box asap 😩 @AppleSupport Thanks I'll let you,2. Multi-Issue Compound Query,Customer described multiple simultaneous issues; single-vector embedding blends symptoms.
CASE_002749,1153433,@AppleSupport why is there noticeable latency in Notes 📝? Also it freezes and locks up upon first use after periods of unuse. @AppleSupport ,KEYBOARD_TYPING_AUTOCORRECT,OS_UPDATE_SYSTEM_PERFORMANCE,0.641,CASE_006977,@AppleSupport yall needa fix all the lagging in iOS 11. during phone calls when you double tap to change apps all that s,1. Ultra-short or Vague Customer Query,Query lacks diagnostic specificity or symptom keywords; vector sits near generic dense region.
CASE_005646,2269972,Hey @115858 if I get what seems to be an iPhone message that “New Carrier Settings are Available” and select “update”. ... is this a valid i,CONNECTIVITY_WIFI_BLUETOOTH,OS_UPDATE_SYSTEM_PERFORMANCE,0.6306,CASE_001760,"@AppleSupport hello, I keep getting this message when trying to update my phone, what can I do? https://t.co/c2JFGFLDrM ",2. Multi-Issue Compound Query,Customer described multiple simultaneous issues; single-vector embedding blends symptoms.
CASE_007604,2837154,"Estimadas personas de @115858  y @AppleSupport, su iOS 11 provoca que los iPhone 6 se conviertan en una Olivetti Lettera 25 de 1982. Por su ",OS_UPDATE_SYSTEM_PERFORMANCE,GENERAL_DEVICE_INQUIRY,0.6523,CASE_002912,"Tá, e aí @AppleSupport vamo arrumar essa nova atualização do IOS aí né jovem!? A bateria tá igual miojo: 3 minutos e já ",2. Multi-Issue Compound Query,Customer described multiple simultaneous issues; single-vector embedding blends symptoms.
CASE_007873,2964181,"@AppleSupport iMessage its not working on my iPhone 7, neither push notifications of Whatsapp and Facebook. Is the service down? @AppleSuppo",CONNECTIVITY_WIFI_BLUETOOTH,OS_UPDATE_SYSTEM_PERFORMANCE,0.8089,CASE_003987,@AppleSupport imessage not working on ios 11 @AppleSupport  https://t.co/ykOy62HlUB,1. Ultra-short or Vague Customer Query,Query lacks diagnostic specificity or symptom keywords; vector sits near generic dense region.
CASE_002650,1104710,"So new #iphone8Plus phone won’t update to iOS 11.03... On Wi-Fi, won’t get pass verification stage. #fail @115858 @AppleSupport @AppleSuppor",CONNECTIVITY_WIFI_BLUETOOTH,APP_STORE_PURCHASES_BILLING,0.6824,CASE_005178,"@AppleSupport I can't update my new iPhone X to 11.0.1, settings on the phone failes to verify, and iTunes is reporting ",2. Multi-Issue Compound Query,Customer described multiple simultaneous issues; single-vector embedding blends symptoms.
CASE_005470,2199260,Hey .@115858 fix the I️ that becomes an A. @AppleSupport @643239 What about fixing I.t ????? @AppleSupport @643239 Do I️ really need to back,APP_STORE_PURCHASES_BILLING,OS_UPDATE_SYSTEM_PERFORMANCE,0.7238,CASE_005902,"Your update ruined my phone

@115858 
@AppleSupport @115858 @AppleSupport Your update is the BUG",1. Ultra-short or Vague Customer Query,Query lacks diagnostic specificity or symptom keywords; vector sits near generic dense region.
CASE_002707,1143581,"New iOS has pretty much slowed my phone down, made everything clunky &amp; doesn’t work. Good job @AppleSupport @115858 #iOS11 #Apple #Apple",DISPLAY_TOUCH_SCREEN,APP_CRASH_AND_DOWNLOAD,0.6926,CASE_007619,So sick of apples bullshit. Took almost 5 min to open up a podcast now. Everything lags. Apps crash more. Everything lag,2. Multi-Issue Compound Query,Customer described multiple simultaneous issues; single-vector embedding blends symptoms.
CASE_001312,553508,"Could you kindly remind me how to turn off several “apps” that load in Messages on iOS? Can’t 3d press to delete, can’t drag out of the gutt",HOW_TO_SETTINGS_CONFIGURATION,OS_UPDATE_SYSTEM_PERFORMANCE,0.596,CASE_002964,@AppleSupport how do I delete apps if this is what shows when I press and hold an app https://t.co/R47Tz6nsA7 @AppleSupp,2. Multi-Issue Compound Query,Customer described multiple simultaneous issues; single-vector embedding blends symptoms.
CASE_001300,552031,"@AppleSupport 
Please help me my phone makes restart with itself every minute 😭😭 @AppleSupport Okay thanks for this reply and being here",OS_UPDATE_SYSTEM_PERFORMANCE,GENERAL_DEVICE_INQUIRY,0.9231,CASE_001364,WHY DOES MY PHONE KEEP RESTARTING?!?! @AppleSupport @AppleSupport Thanks!,1. Ultra-short or Vague Customer Query,Query lacks diagnostic specificity or symptom keywords; vector sits near generic dense region.
CASE_002555,1060585,@AppleSupport any suggestions as to why my monitors won't recognise thunderbolt display port cables anymore? 2013 MacBook Pro. @AppleSupport,BATTERY_CHARGING_POWER,DISPLAY_TOUCH_SCREEN,0.5666,CASE_002282,"@AppleSupport Blue Screen of Death on #MacBookPro, thanks #HighSierra https://t.co/t3iowRhkYk @337299 @AppleSupport I ha",1. Ultra-short or Vague Customer Query,Query lacks diagnostic specificity or symptom keywords; vector sits near generic dense region.
CASE_007348,2747322,F*cking #Apple lying to me about #Bluetooth being off. No wonder my battery is draining like nobody’s business. If I switch Bluetooth off I ,BATTERY_CHARGING_POWER,CONNECTIVITY_WIFI_BLUETOOTH,0.711,CASE_001922,@AppleSupport Anyone else noticed that if you turn off Bluetooth via control centre it comes back on? I have to go in to,1. Ultra-short or Vague Customer Query,Query lacks diagnostic specificity or symptom keywords; vector sits near generic dense region.
CASE_006797,2547271,@115858 well you’ve outdone yourselves on shocking service for a faulty 3 month old iPhone that I’m stuck with yet you have my money. @1647 ,APP_CRASH_AND_DOWNLOAD,APP_STORE_PURCHASES_BILLING,0.7942,CASE_005986,@115858 fix this I️ shit! I️ pay too much money for these phones to be this annoyed! #apple @AppleSupport Thank you,3. Post-Update Symptom Ambiguity,"Customer framed specific hardware symptom around OS update, pulling general OS update cases."
CASE_002321,937386,I’m assuming someone has told @115858 that the latest iOS update is terrible @342218 @115858 My phone and iPad have turned into very expensi,KEYBOARD_TYPING_AUTOCORRECT,BATTERY_CHARGING_POWER,0.7538,CASE_004769,@115858 @797 I though the iOS update today would fix the battery drain but it actually made it worse &amp; everything is,1. Ultra-short or Vague Customer Query,Query lacks diagnostic specificity or symptom keywords; vector sits near generic dense region.
CASE_005346,2143942,"LOOK @115858 YALL ARE ABOUT TO PISS ME OFF WITH MY I️’s GLITCHING. FIX IT. @AppleSupport So basically, every time I respond to my boss, I ha",GENERAL_DEVICE_INQUIRY,KEYBOARD_TYPING_AUTOCORRECT,0.7226,CASE_007742,@115858 y’all gonna have to do some shit about this i problem tho. I’m fucking tired of looking like I’m stuttering @App,3. Post-Update Symptom Ambiguity,"Customer framed specific hardware symptom around OS update, pulling general OS update cases."
CASE_002014,809473,@AppleSupport whenever I take screenshots on my iPhone 7 it takes a screenshot but goes grey? And my phone keeps freezing 😭 @AppleSupport It,APP_CRASH_AND_DOWNLOAD,GENERAL_DEVICE_INQUIRY,0.7783,CASE_003440,Is anyone else having issues screenshotting with the new IOS? Every time I screenshot something it just shows up black? ,2. Multi-Issue Compound Query,Customer described multiple simultaneous issues; single-vector embedding blends symptoms.
CASE_005319,2138289,"@115858 @AppleSupport how do I️ fix this, that’s an i btw thx a loyal user @AppleSupport Thanks v much #greatCX",HOW_TO_SETTINGS_CONFIGURATION,GENERAL_DEVICE_INQUIRY,0.8938,CASE_004028,@115858 @AppleSupport PLEASE FIX THIS I️ THING @AppleSupport Thank you !!!,3. Post-Update Symptom Ambiguity,"Customer framed specific hardware symptom around OS update, pulling general OS update cases."
CASE_000482,235863,Hi @AppleSupport. Another day another painful bug. IOS messages app just showing phone numbers not names! @AppleSupport Have restated severa,OS_UPDATE_SYSTEM_PERFORMANCE,DISPLAY_TOUCH_SCREEN,0.7106,CASE_005214,"@115858 my contacts won’t show up in my messages anymore, it’s only their numbers. I️ try to edit them and it’s just a b",2. Multi-Issue Compound Query,Customer described multiple simultaneous issues; single-vector embedding blends symptoms.
CASE_007670,2863567,I wanted to say the #iPhoneX is awesome but I can’t. It sucks; no one can hear me &amp; it does not play voicemails. Stores won’t take it ba,AUDIO_SOUND_SPEAKER,GENERAL_DEVICE_INQUIRY,0.7358,CASE_003532,Trust me y'all don't won't the #iphonex what the hell is this @AppleSupport ??? https://t.co/DITREaPPpP,3. Post-Update Symptom Ambiguity,"Customer framed specific hardware symptom around OS update, pulling general OS update cases."
CASE_005097,2052375,@AppleSupport will there be a new patch soon for the latest update to IPhone?Phone barely works now.Calls no notify no ring- no VM.,OS_UPDATE_SYSTEM_PERFORMANCE,CONNECTIVITY_WIFI_BLUETOOTH,0.6932,CASE_006760,Is anyone else’s iPhone not sending or receiving calls right now? @AppleSupport Related to iOS update? @AppleSupport No ,3. Post-Update Symptom Ambiguity,"Customer framed specific hardware symptom around OS update, pulling general OS update cases."
CASE_007833,2949575,"@AppleSupport hello, I've received an email which I think is spam, do you have a department that deals with phishing emails? I can't see any",APP_STORE_PURCHASES_BILLING,GENERAL_DEVICE_INQUIRY,0.8159,CASE_002130,"@AppleSupport 
I received this suspicious e-mail. Is this an phishing email? https://t.co/rsAdOn7LwS @AppleSupport Thank",1. Ultra-short or Vague Customer Query,Query lacks diagnostic specificity or symptom keywords; vector sits near generic dense region.
CASE_006836,2555482,"Restarted iPhone as was lagging, now I only have 14 photos and videos.... 🧐 @AppleSupport there is a big bug with iso11 where are my 10k + p",GENERAL_DEVICE_INQUIRY,OS_UPDATE_SYSTEM_PERFORMANCE,0.6926,CASE_004087,Ive just lost all my photos after updating to the new iOS 11. This is annoying. @115948 @AppleSupport @AppleSupport More,2. Multi-Issue Compound Query,Customer described multiple simultaneous issues; single-vector embedding blends symptoms.
CASE_006913,2583078,@applesupport hey is this the right guys? Well anyways my sisters iPhone says that her storage is low even though it has like 10 GB of stora,DISPLAY_TOUCH_SCREEN,GENERAL_DEVICE_INQUIRY,0.7092,CASE_004904,"@AppleSupport hey, my iPhone constantly fills up my storage. I have newest software. Is there any solution?? @AppleSuppo",2. Multi-Issue Compound Query,Customer described multiple simultaneous issues; single-vector embedding blends symptoms.
CASE_006359,2408460,"By the way in running on an old mbp retina 13-inch, late 2012. @AppleSupport @115858 @AppleSupport Thanks! I solved the problem. There were ",CONNECTIVITY_WIFI_BLUETOOTH,GENERAL_DEVICE_INQUIRY,0.5207,CASE_004394,"@AppleSupport OK so my Mighty Mouse is causing the cursor to jump about, pages go back and other weird &amp; not wonderf",3. Post-Update Symptom Ambiguity,"Customer framed specific hardware symptom around OS update, pulling general OS update cases."
CASE_000099,42644,@AppleSupport Hello I have iPhone 5s which since 11.0.3 update is constantly saying storage full even though its not! Please help! Thank you,ACCOUNT_APPLEID_ICLOUD,GENERAL_DEVICE_INQUIRY,0.7428,CASE_000793,@AppleSupport is the phone 8 saying storage is full when it’s not a known issue? Any fix? @AppleSupport Talked to suppor,1. Ultra-short or Vague Customer Query,Query lacks diagnostic specificity or symptom keywords; vector sits near generic dense region.
CASE_006210,2363134,"@applesupport 11.1.1 battery

trying to install 11.1.1 update on my iPhone and iPad.  the program starts verifying and then a dialog box pop",BATTERY_CHARGING_POWER,OS_UPDATE_SYSTEM_PERFORMANCE,0.8305,CASE_004526,@AppleSupport getting 'unable to verify update. 11.1 failed verification because you are no longer connected to internet,2. Multi-Issue Compound Query,Customer described multiple simultaneous issues; single-vector embedding blends symptoms.
CASE_003378,1455381,Anyone else’s iPhone running like a heap of shit since software upgrade? @AppleSupport @AppleSupport I would like to say thanks to Apple sup,GENERAL_DEVICE_INQUIRY,OS_UPDATE_SYSTEM_PERFORMANCE,0.7707,CASE_003973,"Slow, unstable ... thanks @115858 @AppleSupport, my iPhone 5S is just miserable now with #iOS11. @AppleSupport Hi! The l",3. Post-Update Symptom Ambiguity,"Customer framed specific hardware symptom around OS update, pulling general OS update cases."
CASE_003734,1581415,@115858 i updated my phone and now nothing worksssssss @AppleSupport it’s fine! everything’s fine now 🙂 thank you!,GENERAL_DEVICE_INQUIRY,OS_UPDATE_SYSTEM_PERFORMANCE,0.8602,CASE_004109,I️ didn’t even update my phone and my I’s are messing up.....what the hell @115858 @AppleSupport Thanks,2. Multi-Issue Compound Query,Customer described multiple simultaneous issues; single-vector embedding blends symptoms.
CASE_006304,2397971,I’d like to apologize to the iPhone users! There seems to be this weird error when I’m typing that I️ thought only I could see. Hopefully it,KEYBOARD_TYPING_AUTOCORRECT,GENERAL_DEVICE_INQUIRY,0.7713,CASE_003393,"@AppleSupport hey nearly every time I️ type I️ on my iPhone, it comes up as symbols. Please fix this @AppleSupport Just ",3. Post-Update Symptom Ambiguity,"Customer framed specific hardware symptom around OS update, pulling general OS update cases."
CASE_005893,2297644,Why is this “ I️n “ still even a thing??? Shouldn’t @115858 have fixed I️t yet @AppleSupport @4150 bless you,KEYBOARD_TYPING_AUTOCORRECT,GENERAL_DEVICE_INQUIRY,0.74,CASE_005366,Why is this I️ still not fixed @115858 @AppleSupport Thanks homie,1. Ultra-short or Vague Customer Query,Query lacks diagnostic specificity or symptom keywords; vector sits near generic dense region.
CASE_007783,2921478,Has anyone had a fix for Game Center yet? Or is it being PR managed into DMs? Not working on cellular or wifi. Stop blaming users and escala,CONNECTIVITY_WIFI_BLUETOOTH,ACCOUNT_APPLEID_ICLOUD,0.7828,CASE_007779,@AppleSupport Is game center down?  It's not recognizing my login! @AppleSupport @807894  https://t.co/hMTXufLbxB @Apple,1. Ultra-short or Vague Customer Query,Query lacks diagnostic specificity or symptom keywords; vector sits near generic dense region.
CASE_002653,1107356,Hey @AppleSupport wtf happened to the ‘dash’ key since iOS 11 upgrade? I NEED IT BACK!!!,KEYBOARD_TYPING_AUTOCORRECT,OS_UPDATE_SYSTEM_PERFORMANCE,0.6484,CASE_000397,"@AppleSupport your iOS 11.0.2 update deleted allllllll of my @115948 😡😡 help me!!! @AppleSupport It is now, all fixed! T",3. Post-Update Symptom Ambiguity,"Customer framed specific hardware symptom around OS update, pulling general OS update cases."
CASE_006175,2353677,@115858 needs to fix this “I️” issue! 😩🙄 @AppleSupport Awesome!! I️ will update my phone! Thanks!,OS_UPDATE_SYSTEM_PERFORMANCE,GENERAL_DEVICE_INQUIRY,0.8761,CASE_003796,@115858 @AppleSupport Can you fix the software issue with the “I️” problem on everyone’s phone!? 🤔,3. Post-Update Symptom Ambiguity,"Customer framed specific hardware symptom around OS update, pulling general OS update cases."
CASE_001504,588074,Has @115858 resolved the issues with the iPhone 8 yet? 🤔,GENERAL_DEVICE_INQUIRY,OS_UPDATE_SYSTEM_PERFORMANCE,0.7903,CASE_004980,@115858 what’s really good with the glitches and lags with the new update after the iPhone 8 came out @AppleSupport Than,3. Post-Update Symptom Ambiguity,"Customer framed specific hardware symptom around OS update, pulling general OS update cases."
CASE_006316,2402079,my phone has been so laggy today @115858 fix this,GENERAL_DEVICE_INQUIRY,OS_UPDATE_SYSTEM_PERFORMANCE,0.8864,CASE_006699,This update made my phone LAGGY as fuck @115858,3. Post-Update Symptom Ambiguity,"Customer framed specific hardware symptom around OS update, pulling general OS update cases."
CASE_007220,2707651,.@AppleSupport $78 or $79 accidental purchase..please assist. @AppleSupport Thanks,APP_STORE_PURCHASES_BILLING,GENERAL_DEVICE_INQUIRY,0.6547,CASE_003982,@AppleSupport can you tell me why I had to pay £29.95 for this in your store??!! https://t.co/LRVoA2y6K7 @AppleSupport A,5. Lexical Overlap with Distinct Root Cause,"Retrieved case shares lexical keywords (e.g. store, account, music) but addresses a distinct support action."
CASE_004890,1928274,"@AppleSupport my iPhone alarm doesn’t work unless phone is unlocked. What’s the deal? @AppleSupport Thanks, but it looks like the problem so",GENERAL_DEVICE_INQUIRY,AUDIO_SOUND_SPEAKER,0.7321,CASE_002101,@AppleSupport experiencing issues with iPhone alarms not consistently working after latest update. May not go off or may,5. Lexical Overlap with Distinct Root Cause,"Retrieved case shares lexical keywords (e.g. store, account, music) but addresses a distinct support action."
CASE_000024,13218,"@118721 @AppleSupport my iPhone is not syncing and stuck on 'Copying diagnostic information'? 6s, latest version iOS and iTunes. @118720 @11",APP_STORE_PURCHASES_BILLING,OS_UPDATE_SYSTEM_PERFORMANCE,0.6329,CASE_005861,This I️ shit is God awful. Apparently @AppleSupport isn’t going to do shit about it🤔🤔🤔🤔🤔🤔🤔🤔🤔 @AppleSupport Yes @90061 &a,2. Multi-Issue Compound Query,Customer described multiple simultaneous issues; single-vector embedding blends symptoms.
CASE_005384,2150002,Hey @AppleSupport tell IOS 11 to stop changing my brightness on its own and bring back night shift @AppleSupport Hey can you guys fix this b,KEYBOARD_TYPING_AUTOCORRECT,DISPLAY_TOUCH_SCREEN,0.7525,CASE_000161,@AppleSupport ever since iOS 11 update my brightness has been absolutely screwed. Any suggestions?? @AppleSupport Whenev,2. Multi-Issue Compound Query,Customer described multiple simultaneous issues; single-vector embedding blends symptoms.
CASE_001231,543668,Issue started BEFORE latest update download.Trying to download now amid restarts every 2/3 mins. @AppleSupport when are you going to respond,OS_UPDATE_SYSTEM_PERFORMANCE,GENERAL_DEVICE_INQUIRY,0.8216,CASE_000026,"it’s been doing this for two days... cmon @AppleSupport https://t.co/SVOOZiTXli @AppleSupport Before I got your reply, I",3. Post-Update Symptom Ambiguity,"Customer framed specific hardware symptom around OS update, pulling general OS update cases."
CASE_000597,271278,@AppleSupport How do I quit the High Sierra installer when it won't boot up so I can quit. https://t.co/oRioUTDkqP @AppleSupport I got it wo,HOW_TO_SETTINGS_CONFIGURATION,GENERAL_DEVICE_INQUIRY,0.7248,CASE_005578,@AppleSupport Hello. My attempt to install MacOS High Sierra failed and now my computer freezes when starting-up. I sent,5. Lexical Overlap with Distinct Root Cause,"Retrieved case shares lexical keywords (e.g. store, account, music) but addresses a distinct support action."
CASE_002674,1128263,"And @AppleSupport UKmail service is terrible can’t find my parcel and no phone number to call, their online form doesn’t work,give me a clue",CONNECTIVITY_WIFI_BLUETOOTH,GENERAL_DEVICE_INQUIRY,0.6452,CASE_004591,"@AppleSupport I need help with my email app @AppleSupport I may have resolved my issue; updating my phone now, brb. Than",2. Multi-Issue Compound Query,Customer described multiple simultaneous issues; single-vector embedding blends symptoms.
CASE_006403,2417443,"@115858 #Apple I️ may be late to the party, but what is up with the crazy question mark in a box autocorrect thingy that replaces the letter",KEYBOARD_TYPING_AUTOCORRECT,OS_UPDATE_SYSTEM_PERFORMANCE,0.8345,CASE_004481,@AppleSupport my phone keeps auto correcting the letter “I️” to a stupid question mark in a box. It’s annoying and happe,1. Ultra-short or Vague Customer Query,Query lacks diagnostic specificity or symptom keywords; vector sits near generic dense region.
