case_id,customer_message,true_intent,predicted_intent,intent_confidence,top_similarity,intent_alignment,grounding_pass,grounding_severity,draft_reply,decision,reason_code,reason,ground_truth_label,ground_truth_rationale,classification_type,human_reference_label,human_rationale
CASE_007140,"Every OS update @AppleSupport @115858 This device may not be supported.  It's your darn device!! @AppleSupport ipad pro &amp; the keyboard bought with it is the device. Yes it is connected (I mean I get its Halloween) @AppleSupport Yep, taken care of all those prior actually...went there yesterday but thank you",KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,0.3242738871781277,0.7493,1.0,True,NONE,"We'd be happy to help with this. We'd love to help out. Do you know what version of the iOS is on the iPad? If not, you can check under Settings &gt; General &gt; About &gt; Version. Which model of iPad do you have? We'll see what we can do to assist. Let us know if this helps resolve the issue.",ESCALATE,LOW_INTENT_CONFIDENCE,Predicted intent confidence (0.3243) is below the validated confidence threshold (0.60).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SAFE_TO_AUTO_HANDLE,"Clear inquiry with direct, verified historical troubleshooting steps."
CASE_000601,"@AppleSupport Can you help me with a 10.5” iPad Pro Apple keyboard bug? Type but no output on screen. Happens about three times a day. Toggling to lock screen and back helps. Also, once a week it starts deleting text like you’re holding delete key. Would appreciate any help. @AppleSupport Hi. It looks like it’s resolved but thank you. D @AppleSupport Thanks. Running 11.1.2. Noticed for ages, months.",KEYBOARD_TYPING_AUTOCORRECT,DISPLAY_TOUCH_SCREEN,0.47714779672587476,0.6978,0.0,True,NONE,We'd like to help get this sorted out. We'd love to help you with that. When did you first notice this behavior? Did it happen after a software update? That'll help us narrow this down a bit. Which iOS version is your iPad using in Settings &gt; General &gt; About? Do you have Orientation Lock turned on? https://t.co/42YQu2SoDY Let us know if you have any questions along the way.,ESCALATE,INTENT_EVIDENCE_MISMATCH,Retrieved evidence intent alignment (0.00%) is below the validated alignment threshold (66.00%).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SHOULD_ESCALATE,Retrieved cases point to divergent intent categories.
CASE_000604,"@AppleSupport my wifes iPhone 8 is hung up, how do I do a hard restart? @AppleSupport I had found all those solutions, and none worked.  I turned on the flashlight, ran the battery out until it shut off.  Then charged and on.😶",BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,0.5098036321191486,0.6856,0.3333,True,NONE,"We'd like to help get this sorted out. Thanks for reaching out. This article will guide you through getting your iPhone back up and running: https://t.co/o7nB3pXfMv The same speed as if you were trying to adjust your iPhone volume up or down. A simple click and release for the up button, then a simple click and release of the down button, then hold the Side (power) button until the Apple logo appears. https://t.co/GDrqU22YpT Let us know if you have any questions along the way.",ESCALATE,CONFLICTING_EVIDENCE,Retrieved historical evidence contains conflicting troubleshooting paths or fragmented intents.,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SHOULD_ESCALATE,Retrieved cases point to divergent intent categories.
CASE_003014,"@AppleSupport Powerbeats 3 stopped working after 3 months. Won’t turn on or charge. Seems I’m not the only one. Plz fix for Powerbeats 4. @AppleSupport @159983 Thanks. I already got a replacement pair, but I just don’t want this to be a recurring problem.",BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,0.22705790208971574,0.7649,0.3333,True,NONE,"We'd like to help get this sorted out. We don't want you to be left with your Beats not working, especially after a replacement. Let's chat over in Direct Message and we'll see what can be done. https://t.co/GDrqU22YpT Let us know if you have any questions along the way.",ESCALATE,CONFLICTING_EVIDENCE,Retrieved historical evidence contains conflicting troubleshooting paths or fragmented intents.,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SHOULD_ESCALATE,Retrieved cases point to divergent intent categories.
CASE_004304,"Photos in #macOS High Sierra is SO buggy — I can't imagine it was in a hand of a single QA. And I even waited till 10.13.1. @AppleSupport you either charge for upgrades again or keep the half-done stuff for yourself. As a paying customer I say 👎 @AppleSupport Thanks! The problems are: freezes during just browsing photos (with arrow keys), SUPER SLOW editing of RAWs (iMac 27"" mid 2017), and random crashes if I keep using the app without restarts (all reports sent) 😓 @AppleSupport These problems are not specific to my case, but you know it probably https://t.co/UHXqi83PNg",BATTERY_CHARGING_POWER,APP_CRASH_AND_DOWNLOAD,0.18388797038080856,0.8044,0.3333,True,NONE,We'd like to help get this sorted out. We're here to help. Let's gather some details to isolate this issue. DM us and let us know if you've tried any steps. https://t.co/GDrqU22YpT Glad to hear that. We're here for you if you need us in the future. Have a great rest of your day. Let us know if you have any questions along the way.,ESCALATE,CONFLICTING_EVIDENCE,Retrieved historical evidence contains conflicting troubleshooting paths or fragmented intents.,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SHOULD_ESCALATE,Retrieved cases point to divergent intent categories.
CASE_001377,All I want to do is charge my phone. But noooo. The new iOS update won’t let me. 🙄🙄 @115858 @AppleSupport @AppleSupport 11.1.2 iPhone 7+ @AppleSupport It says that this device is not supported when I plug it into my car to charge. Or however that message is worded. @AppleSupport An iPhone cord and a car charger. This is the only cord it does it with. And it started after I updated my phone. Worked perfectly before.,BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,0.5537551078250641,0.7415,1.0,True,NONE,We'd like to help get this sorted out. We're here for you. Let's start by following the steps in this article: https://t.co/uqxquyfdn0 DM us with any questions. https://t.co/GDrqU22YpT Let us know if you have any questions along the way.,ESCALATE,LOW_INTENT_CONFIDENCE,Predicted intent confidence (0.5538) is below the validated confidence threshold (0.60).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SAFE_TO_AUTO_HANDLE,"Clear inquiry with direct, verified historical troubleshooting steps."
CASE_000047,@115858 need a update for iOS 11 where the WiFi doesn’t turn itself on ALL THE TIME- Tia @AppleSupport I’m turning it off from the control center I believe,CONNECTIVITY_WIFI_BLUETOOTH,CONNECTIVITY_WIFI_BLUETOOTH,0.594422903560397,0.8204,1.0,True,NONE,"We'd like to help get this sorted out. Control Center no longer permanently toggles it off. There's an explanation here: https://t.co/MWcJwF3cgD No problem, we're happy to help. Let us know if you have any questions along the way.",ESCALATE,LOW_INTENT_CONFIDENCE,Predicted intent confidence (0.5944) is below the validated confidence threshold (0.60).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SAFE_TO_AUTO_HANDLE,"Clear inquiry with direct, verified historical troubleshooting steps."
CASE_002801,Why this stupid ios keeps turning the wifi and bluetooth on every time???  @AppleSupport @AppleSupport I have the lastest version and I keep turning them off from the control center and they keep turning on @AppleSupport Got it. Thanks,CONNECTIVITY_WIFI_BLUETOOTH,CONNECTIVITY_WIFI_BLUETOOTH,0.8985023427973475,0.8331,0.6667,True,NONE,We'd like to help get this sorted out. How are you disabling Wi-Fi and Bluetooth? Wi-Fi and Bluetooth controls in Control Center works a bit differently in iOS 11. Read more here: https://t.co/G7BHuQnDS6 You're very welcome. Have an awesome day! Let us know if you have any questions along the way.,AUTO_HANDLE,STRONG_GROUNDED_EVIDENCE,Intent confidence and retrieval evidence exceed validated thresholds and the independent grounding check passed with no unsupported claims.,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,TRUE_AUTO_HANDLE,SAFE_TO_AUTO_HANDLE,"Clear inquiry with direct, verified historical troubleshooting steps."
CASE_004317,"Yo @AppleSupport you want to fix the connectivity issues with iOS 11.1 please? Pretty annoying I can’t even use my phone after updating 😡 @AppleSupport My apps that require internet keep saying “cannot connect” or “error cannot refresh” even tho I have data or WiFi 😭 @AppleSupport Okay thank you. I’ll try that. Also my phone has been getting uncomfortably warm, but it happens pretty randomly, suggestions? @AppleSupport I have the iPhone 7plus Red Edition @AppleSupport Thanks!",CONNECTIVITY_WIFI_BLUETOOTH,CONNECTIVITY_WIFI_BLUETOOTH,0.6432418542528565,0.747,0.6667,True,NONE,We'd like to help get this sorted out. We'd like to help. Let's try following the steps in this article to see if we can get this update installed: https://t.co/Ui1yTnOCUz Let us know if you have any questions along the way.,AUTO_HANDLE,STRONG_GROUNDED_EVIDENCE,Intent confidence and retrieval evidence exceed validated thresholds and the independent grounding check passed with no unsupported claims.,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,TRUE_AUTO_HANDLE,SAFE_TO_AUTO_HANDLE,"Clear inquiry with direct, verified historical troubleshooting steps."
CASE_002674,"And @AppleSupport UKmail service is terrible can’t find my parcel and no phone number to call, their online form doesn’t work,give me a clue @AppleSupport Just have done thanks",CONNECTIVITY_WIFI_BLUETOOTH,CONNECTIVITY_WIFI_BLUETOOTH,0.3108776611235608,0.6452,0.0,True,NONE,"We'd be happy to help with this. We'd love to help. Could you give us a few details such as the issue, the device, and software version? Let us know if this helps resolve the issue.",ESCALATE,WEAK_EVIDENCE,Top retrieval similarity (0.6452) is below the validated quality threshold (0.65).,SHOULD_ESCALATE,Retrieved evidence does not match customer's problem intent.,TRUE_ESCALATE,SHOULD_ESCALATE,Retrieved historical evidence is too generic or weakly related.
CASE_001300,"@AppleSupport 
Please help me my phone makes restart with itself every minute 😭😭 @AppleSupport Okay thanks for this reply and being here",OS_UPDATE_SYSTEM_PERFORMANCE,GENERAL_DEVICE_INQUIRY,0.16495040467226757,0.9231,0.6667,True,NONE,"We'd like to help get this sorted out. Try updating to iOS 11.2. Check out this article: https://t.co/osZOKKTalm Be sure you back up before updating and let us know how it goes. If you run into any other questions or concerns, please let us know. Have a great rest of your weekend. Let us know if you have any questions along the way.",ESCALATE,LOW_INTENT_CONFIDENCE,Predicted intent confidence (0.1650) is below the validated confidence threshold (0.60).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SAFE_TO_AUTO_HANDLE,"Clear inquiry with direct, verified historical troubleshooting steps."
CASE_004378,Hey @115858 can you please fix this “I️” glitch? I’m looking like an idiot when i text. @AppleSupport Ok thanks I appreciate it,OS_UPDATE_SYSTEM_PERFORMANCE,KEYBOARD_TYPING_AUTOCORRECT,0.26547123678565687,0.8281,0.0,True,NONE,We'd like to help get this sorted out. Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 Let us know if you have any questions along the way.,ESCALATE,INTENT_EVIDENCE_MISMATCH,Retrieved evidence intent alignment (0.00%) is below the validated alignment threshold (66.00%).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SHOULD_ESCALATE,Retrieved cases point to divergent intent categories.
CASE_001382,"@AppleSupport hey, i just downloaded the new IOS update and my iphone keeps clicking things and type by itself what should i do? @AppleSupport Iphone7 version 11.2 @AppleSupport No i didn’t but i will now, thanks💕",OS_UPDATE_SYSTEM_PERFORMANCE,OS_UPDATE_SYSTEM_PERFORMANCE,0.43844394034162204,0.7139,1.0,True,NONE,We'd like to help get this sorted out. Have you updated to 11.0.2 yet? https://t.co/80YRnjDFDk Send us a DM and let us know. https://t.co/GDrqU22YpT Glad to hear that. You know where we are if you have any questions. Let us know if you have any questions along the way.,ESCALATE,LOW_INTENT_CONFIDENCE,Predicted intent confidence (0.4384) is below the validated confidence threshold (0.60).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SAFE_TO_AUTO_HANDLE,"Clear inquiry with direct, verified historical troubleshooting steps."
CASE_004676,"@115858 @AppleSupport Con última actualización iOS11.0.3 mi iPhone7 funciona pésimo se actualiza solo, dice no reconocer SIM 👎🏻 https://t.co/8J5G4UlCQw @AppleSupport OK thanks, the last update of #iOS “11.0.3”, my iPhone it works terrible updates itself and does not recognize SIM #IDontLike  👎🏻",OS_UPDATE_SYSTEM_PERFORMANCE,OS_UPDATE_SYSTEM_PERFORMANCE,0.5138038943312275,0.7185,0.6667,True,NONE,"We'd like to help get this sorted out. Let's get it connected to your cellular network. What steps have you tried and which model do you have? Let's take a look at the steps in here, skipping over the ones you've tried already: https://t.co/5KootZbxj1 DM us after: https://t.co/GDrqU22YpT That's great to hear they helped you fix it! Just reach out if you need help again and have a good one. Let us know if you have any questions along the way.",ESCALATE,LOW_INTENT_CONFIDENCE,Predicted intent confidence (0.5138) is below the validated confidence threshold (0.60).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SAFE_TO_AUTO_HANDLE,"Clear inquiry with direct, verified historical troubleshooting steps."
CASE_002624,"So @AppleSupport, I thought login screens were a solved problem https://t.co/jsrq8i1aQA @AppleSupport Restart resolves it, but as a developer, loads of work context is in terminals. This is uncool... Hope it’s a KI fixed in High Sierra @AppleSupport N.b thanks for replying, this is just frustration after several times it happened over the last 3mo...",ACCOUNT_APPLEID_ICLOUD,GENERAL_DEVICE_INQUIRY,0.13852289207951357,0.6146,0.0,True,NONE,"We'd like to help get this sorted out. Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 Alright, we'd like to take a deeper look into this with you. DM us and we'll start there. https://t.co/GDrqU22YpT Let us know if you have any questions along the way.",ESCALATE,WEAK_EVIDENCE,Top retrieval similarity (0.6146) is below the validated quality threshold (0.65).,SHOULD_ESCALATE,Retrieved evidence does not match customer's problem intent.,TRUE_ESCALATE,SHOULD_ESCALATE,Retrieved historical evidence is too generic or weakly related.
CASE_000858,"@AppleSupport woke up to an email saying my password was reset and logged into this account.. how can I make sure he is out of my account?😫 https://t.co/bOFroRLQWf @AppleSupport I think it was a legit email, also ‘John’ was showing active on my devices. Thanks! https://t.co/fqcuC1b9Og @AppleSupport Thank you - done! ☺️",ACCOUNT_APPLEID_ICLOUD,ACCOUNT_APPLEID_ICLOUD,0.78738863997998,0.7003,0.6667,True,NONE,We'd like to help get this sorted out. This email is not from us. Check out the following link for more information and how to report it: https://t.co/LNMCdqt6fD Send us a DM so we can discuss what needs to happen next to ensure your Apple ID is secured. https://t.co/GDrqU22YpT We've received your DM and will respond from there shortly. Let us know if you have any questions along the way.,AUTO_HANDLE,STRONG_GROUNDED_EVIDENCE,Intent confidence and retrieval evidence exceed validated thresholds and the independent grounding check passed with no unsupported claims.,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,TRUE_AUTO_HANDLE,SAFE_TO_AUTO_HANDLE,"Clear inquiry with direct, verified historical troubleshooting steps."
CASE_002917,@AppleSupport restored my phone earlier and backed my photos up to iCloud and not sure how to get them back??? @408258 @AppleSupport Just upgraded from 6+ to 7+. Same problem. iCloud and settings all seem to be set the same. Help @applesupport? @AppleSupport About 3 hours ago and none yet @AppleSupport Thanks for following up. My photos are back on the phone! Woohoo! @AppleSupport They’re back!☺️,ACCOUNT_APPLEID_ICLOUD,ACCOUNT_APPLEID_ICLOUD,0.7605651434714771,0.8385,0.6667,True,NONE,We'd be happy to help with this. Did you restore through iTunes or iCloud? Let's go to Settings &gt; Photos. Is iCloud Photo Library turned on? Do you see a message showing Photos are being downloaded? Let us know if this helps resolve the issue.,AUTO_HANDLE,STRONG_GROUNDED_EVIDENCE,Intent confidence and retrieval evidence exceed validated thresholds and the independent grounding check passed with no unsupported claims.,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,TRUE_AUTO_HANDLE,SAFE_TO_AUTO_HANDLE,"Clear inquiry with direct, verified historical troubleshooting steps."
CASE_000982,@AppleSupport I need to downgrade a storage plan for an Apple ID that I don’t use any more. How do I do that without it being complicated? Thanks in advance! :-) @AppleSupport Ok thank you!,ACCOUNT_APPLEID_ICLOUD,ACCOUNT_APPLEID_ICLOUD,0.5156695927335886,0.6938,0.3333,True,NONE,We'd be happy to help with this. Making sure you have the right amount storage is important. What's happening when you try to change your plan? How long has this been going on? What other steps have you tried to resolve this? Let us know if this helps resolve the issue.,ESCALATE,CONFLICTING_EVIDENCE,Retrieved historical evidence contains conflicting troubleshooting paths or fragmented intents.,SHOULD_ESCALATE,Retrieved evidence does not match customer's problem intent.,TRUE_ESCALATE,SHOULD_ESCALATE,Retrieved cases point to divergent intent categories.
CASE_002000,"Why can't I use my headset on my iPad mini 2? It just stopped working @AppleSupport @AppleSupport I tried my Samsung earbuds, and another headset. Neither worked, but Bluetooth and the speaker in the iPad works. @AppleSupport Wireless are working, wired ones aren't working. I tested the wired one sin my phone, and they worked. @AppleSupport It worked 🙌 thank you! @AppleSupport You too",AUDIO_SOUND_SPEAKER,AUDIO_SOUND_SPEAKER,0.4666060139785984,0.6752,0.6667,True,NONE,"We'd like to help get this sorted out. We'd like to look into the issues you're having with Bluetooth on your devices. Which devices are you using this with? What exactly are you seeing happen with that connection? So just to clarify, both your iPad and iPhone are not detecting that Bluetooth connections are available with multiple other devices? What iOS version are they running? You can check under Settings &gt; General &gt; About. To troubleshoot, we'll need to have one of the devices you were having trouble connecting to available. Let us know what kind of device that is and we'll go from there. So we can dig into this in more details, let's connect over in Direct Message. Walk us through the steps you take to try and connect the two so we know what you're seeing. https://t.co/GDrqU22YpT Let us know if you have any questions along the way.",ESCALATE,LOW_INTENT_CONFIDENCE,Predicted intent confidence (0.4666) is below the validated confidence threshold (0.60).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SAFE_TO_AUTO_HANDLE,"Clear inquiry with direct, verified historical troubleshooting steps."
CASE_002970,"Any help appreciated: My original @AppleSupport headphones volume control don’t work on my iPhone6s. They work on other phones so issue 1/2 @AppleSupport Not with headphones but rather the iPhone 6s. Any ideas? @AppleSupport 2/2 @AppleSupport Hey guys, yes I have @AppleSupport Yes, just not on the headphones. Using 11.0.2 @AppleSupport It seems to have happened after a previous version update. @AppleSupport @415482 NO CAIGAN! ES UNA TRAMPA PARA QUE LES DEJE DE FUNCIONAR Y TENGAN QUE COMPRAR OTRO @AppleSupport Well, I ruled that out. Instead, I managed to find the root of the problem. A build of dust that was jammed up there. Sorted now",AUDIO_SOUND_SPEAKER,AUDIO_SOUND_SPEAKER,0.684478210982305,0.6926,1.0,True,NONE,"We'd like to help get this sorted out. We'll gladly assist. Can you describe the audio trouble in detail? Also, what version of the iOS is running on that 6s? We appreciate the details. Does this happen on speaker and with headphones? Also, try these steps: https://t.co/4Kux8rhhGX https://t.co/GDrqU22YpT Good to know! Is it only when playing music, or when on phone calls using speakerphone also? What about using normally? We'd like to investigate this further. Send us a DM, and we'll get started. https://t.co/GDrqU22YpT Let us know if you have any questions along the way.",AUTO_HANDLE,STRONG_GROUNDED_EVIDENCE,Intent confidence and retrieval evidence exceed validated thresholds and the independent grounding check passed with no unsupported claims.,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,TRUE_AUTO_HANDLE,SAFE_TO_AUTO_HANDLE,"Clear inquiry with direct, verified historical troubleshooting steps."
