case_id,query,true_intent,baseline_intent,domain_aware_intent,multi_issue,symptom_domains,decision_hint
CASE_005164,Can apple fix this iPhone glitch!!! I️ want to use my i’s without them being autocorrected every time @AppleSupport @115858 🙄🙄🙄 @AppleSuppor,OS_UPDATE_SYSTEM_PERFORMANCE,OS_UPDATE_SYSTEM_PERFORMANCE,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_002624,"So @AppleSupport, I thought login screens were a solved problem https://t.co/jsrq8i1aQA @AppleSupport Restart resolves it, but as a develope",ACCOUNT_APPLEID_ICLOUD,OS_UPDATE_SYSTEM_PERFORMANCE,ACCOUNT_APPLEID_ICLOUD,False,,PROCEED
CASE_006666,@AppleSupport I am a technician helping a iPad user retrieve her Apple ID password. Does not have recovery email password and forgets the se,ACCOUNT_APPLEID_ICLOUD,CONNECTIVITY_WIFI_BLUETOOTH,ACCOUNT_APPLEID_ICLOUD,True,"ACCOUNT_APPLEID_ICLOUD, HOW_TO_SETTINGS_CONFIGURATION",ESCALATE_MULTI_ISSUE
CASE_004456,@AppleSupport how would I go about reporting a security (phishing) concern? @AppleSupport Thanks! Very much appreciated.,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_006216,@AppleSupport I’m getting a little sick and tired of my phone restarting randomly all throughout the day @AppleSupport 11.0.2,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,OS_UPDATE_SYSTEM_PERFORMANCE,False,,PROCEED
CASE_002524,@AppleSupport what’s ap notification is not working.i have to open what’s ap for msg and calls.pls advise @AppleSupport Thanks.i noticed it ,KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,False,,PROCEED
CASE_006775,this stupid glitch with the ! and the ?box gotta go. @115858 @AppleSupport !!!!!!!,OS_UPDATE_SYSTEM_PERFORMANCE,OS_UPDATE_SYSTEM_PERFORMANCE,OS_UPDATE_SYSTEM_PERFORMANCE,False,,PROCEED
CASE_006433,"@AppleSupport Trying to install the free SAMs app but iTunes won’t let me. This is crazy, and my card is good. https://t.co/q58j2A0Ktf @Appl",CONNECTIVITY_WIFI_BLUETOOTH,APP_STORE_PURCHASES_BILLING,APP_STORE_PURCHASES_BILLING,True,"CONNECTIVITY_WIFI_BLUETOOTH, APP_STORE_PURCHASES_BILLING",ESCALATE_MULTI_ISSUE
CASE_007482,@115858 my iPhone 8 didn’t come with the headphones connected to the adapter. I have to use the adapter to connect it. But how comes others ,AUDIO_SOUND_SPEAKER,AUDIO_SOUND_SPEAKER,AUDIO_SOUND_SPEAKER,False,AUDIO_SOUND_SPEAKER,PROCEED
CASE_006394,"@AppleSupport 11.1.1 update. Wi-fi no longer works. Can't toggle it on. @AppleSupport @AppleSupport iphone 5s @AppleSupport Yes, after 11.1.",CONNECTIVITY_WIFI_BLUETOOTH,CONNECTIVITY_WIFI_BLUETOOTH,CONNECTIVITY_WIFI_BLUETOOTH,True,"CONNECTIVITY_WIFI_BLUETOOTH, HOW_TO_SETTINGS_CONFIGURATION",ESCALATE_MULTI_ISSUE
CASE_007211,The @115858 store at #TheGrove has the worst customer service I’ve EVER experienced in my life! I don’t like to make things racial but a whi,CONNECTIVITY_WIFI_BLUETOOTH,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_005083,Downloaded latest IOS updates from @115858 &amp; phone hasn’t worked the same since. Forced to buy a new one. Coincidence? #Classy #Apple #i,OS_UPDATE_SYSTEM_PERFORMANCE,OS_UPDATE_SYSTEM_PERFORMANCE,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_005021,@115858 fix this shit cuh 😡➡️ “ I️ “ @AppleSupport Coming in clutch thanks 😤,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_004984,I️ think there’s something wrong here. @115858 what’s going on with my keyboard? lol @AppleSupport I think i fixed it lol,KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,False,KEYBOARD_TYPING_AUTOCORRECT,PROCEED
CASE_004304,Photos in #macOS High Sierra is SO buggy — I can't imagine it was in a hand of a single QA. And I even waited till 10.13.1. @AppleSupport yo,BATTERY_CHARGING_POWER,GENERAL_DEVICE_INQUIRY,APP_CRASH_AND_DOWNLOAD,True,"BATTERY_CHARGING_POWER, APP_CRASH_AND_DOWNLOAD",ESCALATE_MULTI_ISSUE
CASE_001946,@AppleSupport @115858 is this fake? https://t.co/KNbAsKx8IV,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_005253,I got to a decent tech support guy called James who grasped the hearing difficulties &amp; solved the iCloud problem painlessly and professi,ACCOUNT_APPLEID_ICLOUD,AUDIO_SOUND_SPEAKER,ACCOUNT_APPLEID_ICLOUD,False,ACCOUNT_APPLEID_ICLOUD,PROCEED
CASE_004220,@AppleSupport Is there an ETA for this glitch with the letter I ?? @AppleSupport Thank you!,KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,False,KEYBOARD_TYPING_AUTOCORRECT,PROCEED
CASE_003256,@AppleSupport Why the hell do you STILL require people to give you a card number to get FREE god damn apps?,GENERAL_DEVICE_INQUIRY,APP_STORE_PURCHASES_BILLING,APP_STORE_PURCHASES_BILLING,False,,PROCEED
CASE_005963,Dear Apple...... FIX THIS!!! I️ I️ I️ I️ @AppleSupport THANKS! @AppleSupport Thanks so much. 11.0.3 is the version. @AppleSupport Thank You!,OS_UPDATE_SYSTEM_PERFORMANCE,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_005962,So did everyone accept the fact that the “I️” on apple devices is fucked or are we gonna get this shit resolved ? @AppleSupport,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_005041,@AppleSupport Why is my “I” defaulting to “I️”? #apple #iosproblems #Iworld #wantmyIback @AppleSupport Thank you for the resolution. I is ba,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_004215,"@AppleSupport after updating to latest iOS. Whenever I️ press ""i"" it gives me these strange characters. Can you help me? https://t.co/wxVWnR",GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_005848,@115858 hey guys WHEN IS THIS FUCKING I️ ISSUE GONNA BE FIXED,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_007316,@AppleSupport you should be ashamed. My Mac downloaded High Sierra &amp; now I can’t log into it. After trying to fix it myself I took it to,GENERAL_DEVICE_INQUIRY,ACCOUNT_APPLEID_ICLOUD,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_006035,"I️ got old navy PJ’s, they had German shepherds on them &amp; I️ started crying in the store lmao This is so frustrating my @115858 fix this",BATTERY_CHARGING_POWER,AUDIO_SOUND_SPEAKER,BATTERY_CHARGING_POWER,True,"BATTERY_CHARGING_POWER, CONNECTIVITY_WIFI_BLUETOOTH",ESCALATE_MULTI_ISSUE
CASE_006205,"Prospective wallpaper doesn’t work on #iPhone with #iOS11, #ios1111 WHY? 😕 #iPhone8 #IphoneX #apple @115858 @AppleSupport @AppleSupport Redu",OS_UPDATE_SYSTEM_PERFORMANCE,OS_UPDATE_SYSTEM_PERFORMANCE,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_003008,@AppleSupport what does this mean? https://t.co/e2SLiruOAg @AppleSupport Thank you!,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_004943,What is with the weird I️ thing??? How do I stop it @583075 Dear @115858 I️ absolutely hate your iOS 11 update. I️ I️ I️ I️ I️ FIX THIS BALO,ACCOUNT_APPLEID_ICLOUD,GENERAL_DEVICE_INQUIRY,ACCOUNT_APPLEID_ICLOUD,True,"ACCOUNT_APPLEID_ICLOUD, HOW_TO_SETTINGS_CONFIGURATION",ESCALATE_MULTI_ISSUE
CASE_003510,@AppleSupport Just got my iPhone X but activation is failing because the activation server is unavailable. Any help? @197224 @AppleSupport H,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_002922,"What a great way to start the day, sent snaps to all my snap streaks close phone and now it wont come back on..... thanks @115858 😅 @AppleSu",GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_002768,"@AppleSupport Hi! I’ve received an email from this email address, is it real or it’s a fishing one? Thanks https://t.co/LIdTIZ4iKo @AppleSup",GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_003733,Hey @115858 fix this I️ @AppleSupport I️ don’t want to do this. I️ want my phone to work. I️ pay all this money &amp; I️ can’t even talk abo,GENERAL_DEVICE_INQUIRY,APP_STORE_PURCHASES_BILLING,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_000137,Gotta wait til Friday! Meet me at the Apple Store at 8 a.m. — we’ll let you open the doors! #iPhone https://t.co/r9hFywLn3z @116333 Please s,OS_UPDATE_SYSTEM_PERFORMANCE,APP_CRASH_AND_DOWNLOAD,GENERAL_DEVICE_INQUIRY,False,HOW_TO_SETTINGS_CONFIGURATION,PROCEED
CASE_007865,Hey @AppleSupport why am I constantly getting pop ups on Safari that I can’t clear? @AppleSupport iPhone 6s. 11.1.2 @AppleSupport Yea that’s,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_004231,@AppleSupport - I’ve had an email from Apple Support but I don’t think it’s a genuine email?,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_003891,Hey @115858 fix this bullshit bug with typing “I” and showing up as something else,KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,False,KEYBOARD_TYPING_AUTOCORRECT,PROCEED
CASE_007647,@AppleSupport My phone keeps dropping wifi signal since updating to IOS 11. Tried everything. Could the wifi aerial be the problem. Pls advi,CONNECTIVITY_WIFI_BLUETOOTH,CONNECTIVITY_WIFI_BLUETOOTH,CONNECTIVITY_WIFI_BLUETOOTH,False,CONNECTIVITY_WIFI_BLUETOOTH,PROCEED
CASE_001375,@AppleSupport Why My Phone Be Dying So Fast Tho ?,BATTERY_CHARGING_POWER,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_004341,"@115858 this new update is so bad, it might be time to switch over to a Galaxy. @115858 11.1 and 6S. Everything is slow. Messenger locks up.",DISPLAY_TOUCH_SCREEN,OS_UPDATE_SYSTEM_PERFORMANCE,OS_UPDATE_SYSTEM_PERFORMANCE,False,DISPLAY_TOUCH_SCREEN,PROCEED
CASE_004783,@AppleSupport my iPhone battery does quicker than ever after the 11.0.3 update. #whatgives,BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,False,BATTERY_CHARGING_POWER,PROCEED
CASE_005427,My phone just deleted my entire camera roll.........  I’m devasted 😭😭😭😭😭 Update - my pictures randomly are downloading back to my phone from,DISPLAY_TOUCH_SCREEN,GENERAL_DEVICE_INQUIRY,ACCOUNT_APPLEID_ICLOUD,False,ACCOUNT_APPLEID_ICLOUD,PROCEED
CASE_005106,".@115858 completely screwed-up (THEIR OWN) weather &amp; clock apps with the last update. Thanks a lot. 🤨  

@AppleSupport #Apple #Iphone @A",OS_UPDATE_SYSTEM_PERFORMANCE,OS_UPDATE_SYSTEM_PERFORMANCE,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_001448,"so disappointed by @115858. After upgrading my iPhone7(recommended by the company), everything now is messed up. The battery with the least ",BATTERY_CHARGING_POWER,APP_CRASH_AND_DOWNLOAD,APP_CRASH_AND_DOWNLOAD,True,"BATTERY_CHARGING_POWER, APP_CRASH_AND_DOWNLOAD",ESCALATE_MULTI_ISSUE
CASE_002338,iOS 11 is the worst update @115858 has released. My phone has been living on the charger. @AppleSupport Thank you!,BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,False,BATTERY_CHARGING_POWER,PROCEED
CASE_006327,Why didn’t I consult Twitter before attempting the #HighSierra update. 36 hours and counting... @AppleSupport https://t.co/ZaLHKqVNRQ @Apple,OS_UPDATE_SYSTEM_PERFORMANCE,OS_UPDATE_SYSTEM_PERFORMANCE,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_005814,@115858 @AppleSupport how do I fix the “I.t” I just want to type “it” 😭😭,HOW_TO_SETTINGS_CONFIGURATION,GENERAL_DEVICE_INQUIRY,HOW_TO_SETTINGS_CONFIGURATION,False,HOW_TO_SETTINGS_CONFIGURATION,PROCEED
CASE_006251,@AppleSupport https://t.co/vsOV8U9cAt is down - asking for 2 step verification then giving me “Connection Error: iCloud encountered an error,ACCOUNT_APPLEID_ICLOUD,DISPLAY_TOUCH_SCREEN,ACCOUNT_APPLEID_ICLOUD,False,ACCOUNT_APPLEID_ICLOUD,PROCEED
CASE_003404,"You will not force me to upgrade, @115858. I️ will get @122986’s Pixel instead. Please address this predictive text for “I️”. It’s annoying.",KEYBOARD_TYPING_AUTOCORRECT,GENERAL_DEVICE_INQUIRY,KEYBOARD_TYPING_AUTOCORRECT,False,KEYBOARD_TYPING_AUTOCORRECT,PROCEED
CASE_004269,@AppleSupport aye Snapchat tripping I don’t know if it’s on y’all end or theirs but that shit needs to be fixed NOW ❗️❗️❗️ @AppleSupport It’,GENERAL_DEVICE_INQUIRY,KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,False,,PROCEED
CASE_003109,"Hey @AppleSupport, Mail on #HighSierra is a broken mess that crashes whenever I try to compose an email would be appreciated if you fixed it",APP_CRASH_AND_DOWNLOAD,KEYBOARD_TYPING_AUTOCORRECT,APP_CRASH_AND_DOWNLOAD,False,APP_CRASH_AND_DOWNLOAD,PROCEED
CASE_004386,@115858 The “I️” problem ? Is there a fix? @AppleSupport @519465 mine was doing a question mark and I followed this and it fixed it mostly b,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_005556,@118721 @AppleSupport I’ve been trying to buy an album for half an hour now and it’s just coming up with the square?????? https://t.co/ghctr,APP_STORE_PURCHASES_BILLING,APP_STORE_PURCHASES_BILLING,APP_STORE_PURCHASES_BILLING,False,,PROCEED
CASE_006215,"@AppleSupport I woke my 10.13.1 macbook up from sleep and all my 4-finger trackpad gestures stopped working until I rebooted, pls fix @Apple",GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_000858,@AppleSupport woke up to an email saying my password was reset and logged into this account.. how can I make sure he is out of my account?😫 ,ACCOUNT_APPLEID_ICLOUD,ACCOUNT_APPLEID_ICLOUD,ACCOUNT_APPLEID_ICLOUD,True,"ACCOUNT_APPLEID_ICLOUD, HOW_TO_SETTINGS_CONFIGURATION",ESCALATE_MULTI_ISSUE
CASE_002410,@115858 @AppleSupport @116333 @119462 #iOS11 has the worst battery life of any iOS i have ever run on an #iPhone #Worstbatterylifeever @Appl,BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,False,BATTERY_CHARGING_POWER,PROCEED
CASE_007543,I’m getting very tired of this $1000 Iphone acting up ever since the iOS 11 update and 3 more updates and it’s still giving me fits @AppleSu,DISPLAY_TOUCH_SCREEN,APP_STORE_PURCHASES_BILLING,DISPLAY_TOUCH_SCREEN,False,DISPLAY_TOUCH_SCREEN,PROCEED
CASE_002108,Nice one @115858 for updating my 📱 and making it barely usable. I know your game. Luckily I’m stubborn so no I won’t be buying an iPhone 8 😂,DISPLAY_TOUCH_SCREEN,DISPLAY_TOUCH_SCREEN,DISPLAY_TOUCH_SCREEN,False,DISPLAY_TOUCH_SCREEN,PROCEED
CASE_004504,This new update messed up my phone my phone is slow and glitches a lot fix your shit  @115858,OS_UPDATE_SYSTEM_PERFORMANCE,OS_UPDATE_SYSTEM_PERFORMANCE,OS_UPDATE_SYSTEM_PERFORMANCE,False,,PROCEED
CASE_006508,any1 else having issues with OS X High Sierra and not seeing or able to access flash drive? But multiple instances in Finder https://t.co/a3,OS_UPDATE_SYSTEM_PERFORMANCE,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_007358,"@AppleSupport is there any way to get rid of these random words at the top. I only use spotlight to search for apps, not sure what those wor",HOW_TO_SETTINGS_CONFIGURATION,HOW_TO_SETTINGS_CONFIGURATION,HOW_TO_SETTINGS_CONFIGURATION,False,HOW_TO_SETTINGS_CONFIGURATION,PROCEED
CASE_001260,"@AppleSupport Hi, since yesterday night my 6s is canceling every minute. Restart and backup doesn't solute this problem. Have you an idea? h",OS_UPDATE_SYSTEM_PERFORMANCE,GENERAL_DEVICE_INQUIRY,OS_UPDATE_SYSTEM_PERFORMANCE,False,,PROCEED
CASE_007569,"I️ don’t know if you noticed but when you dropped your rattle &amp; we Both went to pick up, it was like...I️ found The one. Now finish up t",GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_004119,"My iPhone @115858 no longer types the letter I️. That letter would be the most used. As in, I️ can’t make a sentence without it. Frustrated!",KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,False,KEYBOARD_TYPING_AUTOCORRECT,PROCEED
CASE_003182,@AppleSupport I completed the new iOS update and all of my pictures have been removed and I cannot find them! Can you help? @AppleSupport th,OS_UPDATE_SYSTEM_PERFORMANCE,GENERAL_DEVICE_INQUIRY,OS_UPDATE_SYSTEM_PERFORMANCE,False,,PROCEED
CASE_006022,Has anyone else noticed since updating your #iOS that your alarm is sooo quiet?? I’m afraid I’m going to sleep through it even though my vol,AUDIO_SOUND_SPEAKER,OS_UPDATE_SYSTEM_PERFORMANCE,AUDIO_SOUND_SPEAKER,True,"AUDIO_SOUND_SPEAKER, HOW_TO_SETTINGS_CONFIGURATION",ESCALATE_MULTI_ISSUE
CASE_001270,@AppleSupport #iphone6 keeps rebooting and shows the loading screen. Happens every 2 mins! #Help!! @AppleSupport I’m on 11.1.2,DISPLAY_TOUCH_SCREEN,OS_UPDATE_SYSTEM_PERFORMANCE,OS_UPDATE_SYSTEM_PERFORMANCE,False,DISPLAY_TOUCH_SCREEN,PROCEED
CASE_000792,@AppleSupport my (photo) apps shut themselves all-the-time on my ipad pro. Frustrating!! Can't do my work. What's going on? #ios11 @AppleSup,ACCOUNT_APPLEID_ICLOUD,APP_CRASH_AND_DOWNLOAD,APP_CRASH_AND_DOWNLOAD,True,"ACCOUNT_APPLEID_ICLOUD, APP_CRASH_AND_DOWNLOAD",ESCALATE_MULTI_ISSUE
CASE_004687,@AppleSupport #ios11update - is still killing my battery within 12 hours - phone is 10 months old - it’s a disgrace - used to get 2 days @Ap,BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,True,"KEYBOARD_TYPING_AUTOCORRECT, BATTERY_CHARGING_POWER",ESCALATE_MULTI_ISSUE
CASE_002957,@AppleSupport What’s the best way to clean a leather case for iPhone ?,GENERAL_DEVICE_INQUIRY,APP_CRASH_AND_DOWNLOAD,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_003336,"Holy god, I can’t access a pages doc that was created in ios10 on my iPad. It won’t open in 11. Sos help. #Apple #iOS11 #iOS10 @115858 @Appl",OS_UPDATE_SYSTEM_PERFORMANCE,OS_UPDATE_SYSTEM_PERFORMANCE,OS_UPDATE_SYSTEM_PERFORMANCE,False,,PROCEED
CASE_005226,"Mr. @116333 and @115858, I'm not sure what you're doing, but it's simply not acceptable that my #iPhone 6+ slows to a snails  pace after the",BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,True,"BATTERY_CHARGING_POWER, APP_STORE_PURCHASES_BILLING",ESCALATE_MULTI_ISSUE
CASE_005177,It’s been two years since I️ hurt my back. Tonight I️ deadlifted 365. I️ am 35 pounds away from the weight that hurt me. I’m gonna get it. #,OS_UPDATE_SYSTEM_PERFORMANCE,OS_UPDATE_SYSTEM_PERFORMANCE,OS_UPDATE_SYSTEM_PERFORMANCE,False,,PROCEED
CASE_003749,"@AppleSupport - Can Apple Gift Card, issued after recycling iPad, be used online at Apple against price for new iPod? TYVM! @AppleSupport Do",GENERAL_DEVICE_INQUIRY,APP_STORE_PURCHASES_BILLING,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_006042,"@AppleSupport, your last 2 updates have made my phone useless. Get your 💩 together and fix it",GENERAL_DEVICE_INQUIRY,OS_UPDATE_SYSTEM_PERFORMANCE,OS_UPDATE_SYSTEM_PERFORMANCE,False,,PROCEED
CASE_005572,@115858 battery performance of my iPhone 7 + is bad after the software update (ios 11). What have you done? @AppleSupport I'm upset with wha,BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,False,BATTERY_CHARGING_POWER,PROCEED
CASE_002295,Fix the damn lock screen bug already @115858 @AppleSupport My lock screen and clock just basically disappear. Don’t get notifications on my ,DISPLAY_TOUCH_SCREEN,DISPLAY_TOUCH_SCREEN,DISPLAY_TOUCH_SCREEN,False,DISPLAY_TOUCH_SCREEN,PROCEED
CASE_003365,"@AppleSupport for iOS 11, does the screen brightness constantly change itself on its own? Is there no way to lock it permanently?",DISPLAY_TOUCH_SCREEN,DISPLAY_TOUCH_SCREEN,DISPLAY_TOUCH_SCREEN,False,DISPLAY_TOUCH_SCREEN,PROCEED
CASE_005990,"I really need @115858 to fix the letter I and the calculator glitch. 🙄. @AppleSupport Ok, thank you. I️ haven’t updated to that version yet.",KEYBOARD_TYPING_AUTOCORRECT,OS_UPDATE_SYSTEM_PERFORMANCE,KEYBOARD_TYPING_AUTOCORRECT,False,KEYBOARD_TYPING_AUTOCORRECT,PROCEED
CASE_005644,Wtf @115858 the latest iPhone updates have been terrible!! It takes me 10minutes to text someone because my keyboard keeps freezing!!! @Appl,KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,False,KEYBOARD_TYPING_AUTOCORRECT,PROCEED
CASE_006008,Can @115858 maybe fix this I️ bs yet or @AppleSupport Thank you very much!,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,False,,PROCEED
