intent_id,intent_description,customer_message,thread_root_id,resolution_status,review_decision,review_notes
APP_STORE_PURCHASES_BILLING,"App Store purchases, in-app billing, Apple Music subscriptions, duplicate charges, payment methods, and refund requests.",@AppleSupport how do I purchase music but not download to device. I have iTunes Match. @AppleSupport 👏,299037,PARTIALLY_RESOLVED,,
APP_STORE_PURCHASES_BILLING,"App Store purchases, in-app billing, Apple Music subscriptions, duplicate charges, payment methods, and refund requests.","@AppleSupport Hi, why do all the beatles albums appear like this in my apple music library and how do I get proper album art back? https://t.co/sLW646cuhf @AppleSupport Thanks! Sadly it doesn’t. The artwork appears correctly on my Mac, and in search ",1178943,CLEARLY_RESOLVED,,
APP_STORE_PURCHASES_BILLING,"App Store purchases, in-app billing, Apple Music subscriptions, duplicate charges, payment methods, and refund requests.","@AppleSupport Iphone 7, iOS update. Werkt niet meer, kan ook niet resetten oid. iTunes op macbook herkent hem niet. Toestaan kan niet. help! @AppleSupport My problem is solved! Thanks anyway. 👍🏻",361060,PARTIALLY_RESOLVED,,
APP_CRASH_AND_DOWNLOAD,"First-party and third-party applications freezing, crashing on launch, or failing to download/install from the App Store.","My iPhone 6 crashing every 30 second in ios11.1.2. Any solution?  @AppleSupport @AppleSupport Yes, problem solved. 😀 Thanks",542505,CLEARLY_RESOLVED,,
APP_CRASH_AND_DOWNLOAD,"First-party and third-party applications freezing, crashing on launch, or failing to download/install from the App Store.",@115858 would you care to explain to me why my phone keeps freezing? It’s frustrating.,2293557,PARTIALLY_RESOLVED,,
APP_CRASH_AND_DOWNLOAD,"First-party and third-party applications freezing, crashing on launch, or failing to download/install from the App Store.",My phone keeps on crashing since I updated it 😠 #iOS11 👎🏻 #ios11update 👎🏻 @115858 @AppleSupport Thank you. It’s happened a lot with Whatssap and Instagram. But my phone is just way slower than before in general. @AppleSupport It’s just happened with ,712522,CLEARLY_RESOLVED,,
APP_CRASH_AND_DOWNLOAD,"First-party and third-party applications freezing, crashing on launch, or failing to download/install from the App Store.","Why is it ok that my iPhone6 worked fine before IOS11, yet now it’s incredibly buggy and slow...constant app crashes. @115858 why have you broken my phone?! It worked fine!",2350747,CLEARLY_RESOLVED,,
APP_CRASH_AND_DOWNLOAD,"First-party and third-party applications freezing, crashing on launch, or failing to download/install from the App Store.","@AppleSupport @115858 my iPhone 6s getting stuck, when i tap on call icon. It recovers after 30 sec’s. This is f***ing horrible. Kindly help @AppleSupport 11.0.3 . I noticed mostly with call and message. @AppleSupport Thanks. Kindly guide me with the",1795727,CLEARLY_RESOLVED,,
AUDIO_SOUND_SPEAKER,"Speaker distortion, microphone input failure, call audio issues, volume controls, or AirPods audio disconnects.","whenever i screen record a video there’s sound for the first few seconds then it goes pls help @AppleSupport @AppleSupport I just tried it on YouTube and it worked and then stopped working, I can try other apps too if you need it? @AppleSupport I tri",2220393,CLEARLY_RESOLVED,,
AUDIO_SOUND_SPEAKER,"Speaker distortion, microphone input failure, call audio issues, volume controls, or AirPods audio disconnects.","@AppleSupport Just got AirPods. Love them. Question - is there any way to ignore an incoming call on them without having to touch my phone? @AppleSupport I’ve already been on this particular site. Great support, nothing on there about ignoring calls ",898667,PARTIALLY_RESOLVED,,
AUDIO_SOUND_SPEAKER,"Speaker distortion, microphone input failure, call audio issues, volume controls, or AirPods audio disconnects.",yo @AppleSupport my volume isn’t working on my MacBook.. #help,2353658,PARTIALLY_RESOLVED,,
AUDIO_SOUND_SPEAKER,"Speaker distortion, microphone input failure, call audio issues, volume controls, or AirPods audio disconnects.",@AppleSupport hi I cannot hear my voicemail or record a greeting after the latest iOS 11.1.2 update 😔 @AppleSupport Thanks have done,148166,PARTIALLY_RESOLVED,,
AUDIO_SOUND_SPEAKER,"Speaker distortion, microphone input failure, call audio issues, volume controls, or AirPods audio disconnects.","@AppleSupport I'm sure by now you know about crashes, but my iPhone 7 keeps crashing apps since iOS 11. This may sound silly, but I'm not able to use the Starbucks app anymore as it crashes when I try to pay. I'm loosing points, thus loosing free dri",806480,CLEARLY_RESOLVED,,
OS_UPDATE_SYSTEM_PERFORMANCE,"General system performance degradation, software update installation errors, device restore, and operating system bugs.",Why the search tool on iOS 11 doesn’t find apps by name if they’re partially written? @AppleSupport,2324555,PARTIALLY_RESOLVED,,
OS_UPDATE_SYSTEM_PERFORMANCE,"General system performance degradation, software update installation errors, device restore, and operating system bugs.",.@AppleSupport when is the update coming to fix the issue about the ? Sign replacing the I️???? ANNOYING!!!!!!! @AppleSupport Thank you,2112755,PARTIALLY_RESOLVED,,
OS_UPDATE_SYSTEM_PERFORMANCE,"General system performance degradation, software update installation errors, device restore, and operating system bugs.","@AppleSupport Why cant i update my ios? I have enough storage😭 https://t.co/OPPlMJLRMK @AppleSupport @115948 hi hi maybe you know? @AppleSupport Thank you! I read the instructions and i think i wasnt able to update because many ppl update it, yesterd",152824,CLEARLY_RESOLVED,,
OS_UPDATE_SYSTEM_PERFORMANCE,"General system performance degradation, software update installation errors, device restore, and operating system bugs.",@115858 have actually broken my phone @AppleSupport It’s your iOS 11 that’s broken it,2589195,PARTIALLY_RESOLVED,,
OS_UPDATE_SYSTEM_PERFORMANCE,"General system performance degradation, software update installation errors, device restore, and operating system bugs.",@AppleSupport I’m trying to update my apps and it keeps saying my bank details are incorrect when they clearly aren’t. Any advice?,1642371,PARTIALLY_RESOLVED,,
HOW_TO_SETTINGS_CONFIGURATION,"Questions on how to locate, configure, or customize specific iOS features, control center items, and device settings.",@AppleSupport hi i am in the Uk can we add paypal to make purchases?  To buy things from in apps ? @AppleSupport How do I add PayPal on my iPad please ? Can’t find the option only visa etc thank you for the link @AppleSupport Am in the Uk so I can’t ,550674,PARTIALLY_RESOLVED,,
HOW_TO_SETTINGS_CONFIGURATION,"Questions on how to locate, configure, or customize specific iOS features, control center items, and device settings.",@AppleSupport I was with version 11.1 and my apps just crashed every time i open them @AppleSupport I have tried the special settings and the apps i was talking about work again. (The Provider Settings). Thanks for the time though,2438545,PARTIALLY_RESOLVED,,
HOW_TO_SETTINGS_CONFIGURATION,"Questions on how to locate, configure, or customize specific iOS features, control center items, and device settings.","My phone keeps changing “I” to “I️”, and it is driving me insane. @AppleSupport HOW DO I FIX THIS?! Nothing I’ve tried works. @AppleSupport I finally figured it out. Thanks for responding, though :)",2137210,PARTIALLY_RESOLVED,,
HOW_TO_SETTINGS_CONFIGURATION,"Questions on how to locate, configure, or customize specific iOS features, control center items, and device settings.",@AppleSupport how do I turn off bedtime app sleep reminder? @AppleSupport But is there a way to turn off the reminder? @AppleSupport Aw dang. Thanks,1331300,PARTIALLY_RESOLVED,,
HOW_TO_SETTINGS_CONFIGURATION,"Questions on how to locate, configure, or customize specific iOS features, control center items, and device settings.","@AppleSupport Can @115858 implement a shortcut ""low power mode"" to the quick access icons 🙏 https://t.co/7c5hxjSKJd @AppleSupport 6; 10.3.2. I mean, even @198874 has this feature. 😂 @AppleSupport Nice 👌",1046622,PARTIALLY_RESOLVED,,
GENERAL_DEVICE_INQUIRY,"Miscellaneous device inquiries, general hardware questions, or complex multi-symptom inquiries.",Okay now these “A” and “?” are starting to annoy me. @AppleSupport what’s good with these updates? @AppleSupport Thank you!,2227070,CLEARLY_RESOLVED,,
GENERAL_DEVICE_INQUIRY,"Miscellaneous device inquiries, general hardware questions, or complex multi-symptom inquiries.","Dear @115858: I love your products, but ever since I updated my phone’s software, It. Hasn’t. Worked. Please fix it. @270031 @115858 Dear Apple, My GPS has not been working in several locations since I updated my phone last Friday. Please address thi",632946,PARTIALLY_RESOLVED,,
GENERAL_DEVICE_INQUIRY,"Miscellaneous device inquiries, general hardware questions, or complex multi-symptom inquiries.",@115858  this message came up when using MyFitnessPal app? I didn't click install. Can you help? Thx! https://t.co/s3Ckidcwjb @AppleSupport Thanks Apple!,991574,PARTIALLY_RESOLVED,,
GENERAL_DEVICE_INQUIRY,"Miscellaneous device inquiries, general hardware questions, or complex multi-symptom inquiries.",@115858 not to be dramatic but if y’all don’t fix the I️ issue I’m gonna die,2193347,PARTIALLY_RESOLVED,,
GENERAL_DEVICE_INQUIRY,"Miscellaneous device inquiries, general hardware questions, or complex multi-symptom inquiries.",My phone wouldn't turn on for an hour @115858 we're going to have some problems @AppleSupport It's working now,98824,CLEARLY_RESOLVED,,
