query,actual_intent,predicted_intent,confidence,top_3_intents,top_3_scores,error_category
"Hey @AppleSupport, Mail on #HighSierra is a broken mess that crashes whenever I try to compose an email would be appreciated if you fixed it",APP_CRASH_AND_DOWNLOAD,GENERAL_DEVICE_INQUIRY,0.4331,"['GENERAL_DEVICE_INQUIRY', 'APP_CRASH_AND_DOWNLOAD', 'OS_UPDATE_SYSTEM_PERFORMANCE']","[0.4331, 0.183, 0.0823]",APP_CRASH_VS_SYSTEM_PERFORMANCE
@118721 @AppleSupport I’ve been trying to buy an album for half an hour now and it’s just coming up with the square?????? https://t.co/ghctrcs0yx,APP_STORE_PURCHASES_BILLING,GENERAL_DEVICE_INQUIRY,0.4122,"['GENERAL_DEVICE_INQUIRY', 'APP_STORE_PURCHASES_BILLING', 'OS_UPDATE_SYSTEM_PERFORMANCE']","[0.4122, 0.2158, 0.0887]",SUBTLE_SYMPTOM_DISTINCTION
"I’m getting very tired of this $1000 Iphone acting up ever since the iOS 11 update and 3 more updates and it’s still giving me fits @AppleSupport @AppleSupport 7 Plus 3 months old , I have to keep rebooting due to screen freezing, messages acting up, many things. I’ve installed every update sent and never had a problem before IOS 11 @782410 @782411 @AppleSupport Same here! Camera stopped working properly. A big blur @AppleSupport Yes that version was updated an hour ago.
In messages when I try to exit w/back button top left it fades and won’t exit. Sometimes won’t send or receive, there have been many issues I can’t think of right now but thought the updates would fix. Didn’t @AppleSupport @782410 Should I upgrade my IPhone 6 Plus to OIS 11? Thank you. @AppleSupport Whatever it came with new from Best Buy @AppleSupport Yes it happens randomly @AppleSupport Don’t recall using any apps when it happens @AppleSupport I know it was IOS 10. ? @AppleSupport It worked fine prior to IOS 11 and with all the hype over IOS 11 I couldn’t wait and then regretted it. Not sure what this version does that’s supposed to be so great but, it hasn’t been pleasant for me.",DISPLAY_TOUCH_SCREEN,OS_UPDATE_SYSTEM_PERFORMANCE,0.4534,"['OS_UPDATE_SYSTEM_PERFORMANCE', 'DISPLAY_TOUCH_SCREEN', 'AUDIO_SOUND_SPEAKER']","[0.4534, 0.2014, 0.097]",LEXICAL_OVERLAP_AMBIGUITY
@AppleSupport my (photo) apps shut themselves all-the-time on my ipad pro. Frustrating!! Can't do my work. What's going on? #ios11 @AppleSupport Yes. Safari is crashing &amp; my icloud was closing this morning.never had a problem with my ipad before.Is it an other problem than te update?🤔 @AppleSupport My Photos app but also other apps like Photoshop. I restarted my ipad (twice) and deleted and reinstalled some apps and that seems to work.. @AppleSupport Thank you!!!,ACCOUNT_APPLEID_ICLOUD,OS_UPDATE_SYSTEM_PERFORMANCE,0.4021,"['OS_UPDATE_SYSTEM_PERFORMANCE', 'ACCOUNT_APPLEID_ICLOUD', 'APP_CRASH_AND_DOWNLOAD']","[0.4021, 0.2645, 0.1271]",LEXICAL_OVERLAP_AMBIGUITY
"@AppleSupport - Can Apple Gift Card, issued after recycling iPad, be used online at Apple against price for new iPod? TYVM! @AppleSupport Done and done. Thank you very much!",GENERAL_DEVICE_INQUIRY,APP_STORE_PURCHASES_BILLING,0.3194,"['APP_STORE_PURCHASES_BILLING', 'GENERAL_DEVICE_INQUIRY', 'OS_UPDATE_SYSTEM_PERFORMANCE']","[0.3194, 0.2939, 0.1147]",MULTI_INTENT_COLLISION
"@115858 !!!!! Fix this I️ nonsense!!! 
COME. ON. @497393 @497395 @115858 I know how to fix it @497394 @497393 @115858 If I have to change all kinda shit, no thanks. They need to fix it. @497395 @497393 @115858 Well, here it is anyways https://t.co/gqx7vHSVzL @497394 @497395 @115858 Oh! That’s not bad. But I️ presume they’re working on it? It’s annoying AF. @497393 @497394 @497395 @115858 i did that and it worked for 2 seconds then went right back the bullshit box @AppleSupport I just want you to fix the question mark box crap.",HOW_TO_SETTINGS_CONFIGURATION,GENERAL_DEVICE_INQUIRY,0.4312,"['GENERAL_DEVICE_INQUIRY', 'KEYBOARD_TYPING_AUTOCORRECT', 'HOW_TO_SETTINGS_CONFIGURATION']","[0.4312, 0.1662, 0.1208]",SETTINGS_VS_GENERAL_DISAMBIGUATION
"@AppleSupport so, you let me buy a book, pay for it, then tell me I’m not allowed to read it...
Please fix this or refund my $15. https://t.co/DAJxxPxFtX @AppleSupport Thanks. The internet version of “let me transfer you” except, even more useless",APP_STORE_PURCHASES_BILLING,GENERAL_DEVICE_INQUIRY,0.396,"['GENERAL_DEVICE_INQUIRY', 'APP_STORE_PURCHASES_BILLING', 'KEYBOARD_TYPING_AUTOCORRECT']","[0.396, 0.1875, 0.1009]",SUBTLE_SYMPTOM_DISTINCTION
"@115858 how do you get a notification to disappear without a home button on the iPhone X? Nobody at Cardiff Apple store knew!!!!! #coulddoitonthe6plus @AppleSupport Thanks for such a prompt response. However, that help page was more about notifications on a lock screen. I mean when you’re on an app &amp; a notification appears how do I get it to disappear without a home button and without having to reach to up to swipe it away...... @AppleSupport Again thanks. I suppose my point is there’s a feature I’ve lost choosing the X 🤷🏼‍♀️",KEYBOARD_TYPING_AUTOCORRECT,HOW_TO_SETTINGS_CONFIGURATION,0.5059,"['HOW_TO_SETTINGS_CONFIGURATION', 'DISPLAY_TOUCH_SCREEN', 'KEYBOARD_TYPING_AUTOCORRECT']","[0.5059, 0.2817, 0.09]",SUBTLE_SYMPTOM_DISTINCTION
"@115948 @AppleSupport hey guys, we've applied to Apple Music Connect but haven't heard back - what is your turnaround time? Cheers @AppleSupport thanks @115948 only snag is, is there an option for a windows based PC to be able to update the artists profile, music, videos etc? @AppleSupport Command?  Call me cooky or whacky but i have no idea where the command key is.  Will this enable be me to update our artist page? @AppleSupport thanks guys, looks like, according to the guide, only works if you have a mac or apple product.  Pity but thanks all the same",CONNECTIVITY_WIFI_BLUETOOTH,APP_STORE_PURCHASES_BILLING,0.3756,"['APP_STORE_PURCHASES_BILLING', 'OS_UPDATE_SYSTEM_PERFORMANCE', 'CONNECTIVITY_WIFI_BLUETOOTH']","[0.3756, 0.1413, 0.1029]",LEXICAL_OVERLAP_AMBIGUITY
"@AppleSupport iMessage its not working on my iPhone 7, neither push notifications of Whatsapp and Facebook. Is the service down? @AppleSupport 11.1.2",CONNECTIVITY_WIFI_BLUETOOTH,KEYBOARD_TYPING_AUTOCORRECT,0.2367,"['KEYBOARD_TYPING_AUTOCORRECT', 'CONNECTIVITY_WIFI_BLUETOOTH', 'GENERAL_DEVICE_INQUIRY']","[0.2367, 0.1986, 0.1116]",MULTI_INTENT_COLLISION
"Hey, @AppleSupport: please don't mess with the playlists I spent years painstakingly compiling: songs labeled ""explicit"" keep disappearing. @AppleSupport I will, thanks for the prompt reply.",APP_STORE_PURCHASES_BILLING,GENERAL_DEVICE_INQUIRY,0.3942,"['GENERAL_DEVICE_INQUIRY', 'APP_STORE_PURCHASES_BILLING', 'KEYBOARD_TYPING_AUTOCORRECT']","[0.3942, 0.2148, 0.0896]",SUBTLE_SYMPTOM_DISTINCTION
the iOS 11 update got my phone dying every 10 minutes🤦🏽‍♀️ @AppleSupport @AppleSupport 11.0.3,BATTERY_CHARGING_POWER,OS_UPDATE_SYSTEM_PERFORMANCE,0.592,"['OS_UPDATE_SYSTEM_PERFORMANCE', 'BATTERY_CHARGING_POWER', 'CONNECTIVITY_WIFI_BLUETOOTH']","[0.592, 0.1586, 0.0535]",LEXICAL_OVERLAP_AMBIGUITY
"@AppleSupport my phone is tripping @AppleSupport Doesn’t let me drop my notifications bar, keeps freezing and not letting my print through and and doesn’t let me lock it.",GENERAL_DEVICE_INQUIRY,APP_CRASH_AND_DOWNLOAD,0.233,"['APP_CRASH_AND_DOWNLOAD', 'GENERAL_DEVICE_INQUIRY', 'OS_UPDATE_SYSTEM_PERFORMANCE']","[0.233, 0.147, 0.1219]",MULTI_INTENT_COLLISION
Why MY pictures in MY camera roll have to load? Pictures be blurry and shit. I️ be thinking my stuff came out trash but they buffering. @115858 fix it my G @AppleSupport I️ have the last update and I️ use iCloud Photo Library.,DISPLAY_TOUCH_SCREEN,ACCOUNT_APPLEID_ICLOUD,0.5824,"['ACCOUNT_APPLEID_ICLOUD', 'DISPLAY_TOUCH_SCREEN', 'GENERAL_DEVICE_INQUIRY']","[0.5824, 0.0939, 0.0763]",LEXICAL_OVERLAP_AMBIGUITY
Update failed continuously please help @115858 #apple #appleindia https://t.co/1GXRcPyYkX @115858 Thank you for your quick reply. Problem solved automatically next day @AppleSupport Sure. Thanks for your quick service,OS_UPDATE_SYSTEM_PERFORMANCE,GENERAL_DEVICE_INQUIRY,0.329,"['GENERAL_DEVICE_INQUIRY', 'CONNECTIVITY_WIFI_BLUETOOTH', 'OS_UPDATE_SYSTEM_PERFORMANCE']","[0.329, 0.1902, 0.1533]",LEXICAL_OVERLAP_AMBIGUITY
"@AppleSupport my iPhone has a weird white/grey line that goes from the bottom to the middle of the screen, and the volume box is stuck in the middle of the screen. How do I troubleshoot/fix this? @AppleSupport Thanks! I’ve restarted it a few times and my software version is 10.0.1",AUDIO_SOUND_SPEAKER,DISPLAY_TOUCH_SCREEN,0.769,"['DISPLAY_TOUCH_SCREEN', 'AUDIO_SOUND_SPEAKER', 'HOW_TO_SETTINGS_CONFIGURATION']","[0.769, 0.067, 0.0446]",SUBTLE_SYMPTOM_DISTINCTION
"Hey .@115858 fix the I️ that becomes an A. @AppleSupport @643239 What about fixing I.t ????? @AppleSupport @643239 Do I️ really need to back up my stuff to update my phone? 😏 @AppleSupport @643239 You do realise that every time you issue a fix, you create new ones. Like this i/A problem that was never a problem before until you started improvising updates @AppleSupport @643239 About damn time @AppleSupport @643239 @88137 @AppleSupport Hey this update doesn’t work! @AppleSupport Thanks! @AppleSupport @643239 A[?] don’t get it @AppleSupport @643239 Hello, my iphone got stuck on a bootloop after the 11.1.1 update. @AppleSupport @643239 Im becoming closer to switching. This is at least the third update and it’s still bogged down in addition to working better before the update. Obvious what’s going on. @AppleSupport @643239 And why?? Lol @232087 @AppleSupport @643239 There’s a new update to fix the “I” bug @643240 @AppleSupport @643239 How did the big even happen! @AppleSupport I tried the itunes one but i got an error while downloading the update why? @232087 @AppleSupport @643239 Idk lol just update your phone @643240 @AppleSupport @643239 Lmao 😐 I’ll do that tomorrow. But will I️ lose my stuff if I️ don’t back it up? @AppleSupport Download can't be completed @232087 @AppleSupport @643239 No? I don’t ever back up my phone lol @643240 @AppleSupport @643239 Well then why is @AppleSupport saying to do so 🤔 lol yeah I’ve never backed mine up for updates",APP_STORE_PURCHASES_BILLING,OS_UPDATE_SYSTEM_PERFORMANCE,0.5591,"['OS_UPDATE_SYSTEM_PERFORMANCE', 'APP_STORE_PURCHASES_BILLING', 'KEYBOARD_TYPING_AUTOCORRECT']","[0.5591, 0.0758, 0.0742]",LEXICAL_OVERLAP_AMBIGUITY
This new iOS update crash my phone @AppleSupport 😠😠 so mad!!! It won’t even turn back on! @AppleSupport It worked! Thanks a lot! 🙏🏽,APP_CRASH_AND_DOWNLOAD,OS_UPDATE_SYSTEM_PERFORMANCE,0.3254,"['OS_UPDATE_SYSTEM_PERFORMANCE', 'APP_CRASH_AND_DOWNLOAD', 'BATTERY_CHARGING_POWER']","[0.3254, 0.165, 0.122]",LEXICAL_OVERLAP_AMBIGUITY
"#Apple making go round in circles when I reported problem in IPhone 7 Plus, guess they are too busy promoting their IPhone10 @AppleSupport @AppleSupport My new #Apple IPhone 7plus, despite visiting service centres from Delhi to Bangalore,my mobile hang issues are still continue @AppleSupport I have done this exercise many times over with your support team on DM as well as had many rounds in your service centres @585060 @AppleSupport customer support and satisfaction is very essential",GENERAL_DEVICE_INQUIRY,CONNECTIVITY_WIFI_BLUETOOTH,0.3089,"['CONNECTIVITY_WIFI_BLUETOOTH', 'GENERAL_DEVICE_INQUIRY', 'BATTERY_CHARGING_POWER']","[0.3089, 0.1945, 0.0969]",MULTI_INTENT_COLLISION
@115858 FIX THIS I️ BS. It’s annoying as hell. @AppleSupport Thank you. I will give that a try. So far I keep selecting the real “I” to the left in predictive text to overcome it but I forget sometimes,KEYBOARD_TYPING_AUTOCORRECT,GENERAL_DEVICE_INQUIRY,0.38,"['GENERAL_DEVICE_INQUIRY', 'KEYBOARD_TYPING_AUTOCORRECT', 'OS_UPDATE_SYSTEM_PERFORMANCE']","[0.38, 0.3761, 0.0575]",SUBTLE_SYMPTOM_DISTINCTION
I️ need to figure out how to fix my phone. This glitch is pissing me off. FIX IT! @115858 @AppleSupport Thank you!,OS_UPDATE_SYSTEM_PERFORMANCE,HOW_TO_SETTINGS_CONFIGURATION,0.3941,"['HOW_TO_SETTINGS_CONFIGURATION', 'OS_UPDATE_SYSTEM_PERFORMANCE', 'GENERAL_DEVICE_INQUIRY']","[0.3941, 0.2244, 0.1004]",SUBTLE_SYMPTOM_DISTINCTION
@AppleSupport why does iOS 11.1.1 insist on turning on my bluetooth without my consent? Anytime I get near a bluetooth device it turns on. Anytime I restart the phone it’s on. @AppleSupport I know how to use bluetooth. I know how to turn it off and on. I reached over t because I dont like the continuity feature. No wonder the battery life is not very good. Thanks,BATTERY_CHARGING_POWER,CONNECTIVITY_WIFI_BLUETOOTH,0.4442,"['CONNECTIVITY_WIFI_BLUETOOTH', 'BATTERY_CHARGING_POWER', 'HOW_TO_SETTINGS_CONFIGURATION']","[0.4442, 0.3349, 0.0844]",LEXICAL_OVERLAP_AMBIGUITY
@115858 well you’ve outdone yourselves on shocking service for a faulty 3 month old iPhone that I’m stuck with yet you have my money. @1647 @AppleSupport Thanks I’ve done so,APP_CRASH_AND_DOWNLOAD,CONNECTIVITY_WIFI_BLUETOOTH,0.3024,"['CONNECTIVITY_WIFI_BLUETOOTH', 'GENERAL_DEVICE_INQUIRY', 'APP_STORE_PURCHASES_BILLING']","[0.3024, 0.1758, 0.1012]",MULTI_INTENT_COLLISION
