query,intent,baseline_top1_case_id,baseline_score,reranked_top1_case_id,reranker_score,correct_case_id,outcome
It’s been two years since I️ hurt my back. Tonight I️ deadlifted 365. I️ am 35 pounds away from the weight that hurt me. I’m gonna get it. #,OS_UPDATE_SYSTEM_PERFORMANCE,CASE_005701,0.4656,CASE_002169,-8.9726,CASE_005701,MADE_CORRECT_WRONG
Fix the damn lock screen bug already @115858 @AppleSupport My lock screen and clock just basically disappear. Don’t get notifications on my ,DISPLAY_TOUCH_SCREEN,CASE_004795,0.7824,CASE_001994,3.0905,CASE_004795,MADE_CORRECT_WRONG
Here’s a thing: I updated to the new iPhone 11 OS and at the moment my Photos app on my desktop won’t read new photos. @115858? @AppleSuppor,OS_UPDATE_SYSTEM_PERFORMANCE,CASE_001840,0.7331,CASE_002345,1.3152,CASE_001840,MADE_CORRECT_WRONG
Dear @AppleSupport: how do I fully reset an old iPhone that is mildly functional but so broken I can’t unlock it or actually reset it? @Appl,DISPLAY_TOUCH_SCREEN,CASE_005602,0.6649,CASE_007732,2.9523,OTHER_MATCH,NO_CHANGE_INCORRECT
"@AppleSupport HELP !🙏🏻 I’ve updated my IPhone 6S and I received a message asking me to change my password to unlock my IPhone, using capital",KEYBOARD_TYPING_AUTOCORRECT,CASE_007911,0.6391,CASE_007911,3.3978,CASE_007911,NO_CHANGE_CORRECT
@AppleSupport is there a section in the phone where I can see the health of my battery?,BATTERY_CHARGING_POWER,CASE_001907,0.8245,CASE_004947,3.3296,CASE_001907,NO_CHANGE_CORRECT
Why this stupid ios keeps turning the wifi and bluetooth on every time???  @AppleSupport @AppleSupport I have the lastest version and I keep,CONNECTIVITY_WIFI_BLUETOOTH,CASE_002400,0.8331,CASE_002400,5.1125,CASE_002400,NO_CHANGE_CORRECT
@AppleSupport Is it okay to play online games with my iphone while charging the battery? @AppleSupport Thanks!,BATTERY_CHARGING_POWER,CASE_000158,0.6089,CASE_000158,5.2687,CASE_000158,NO_CHANGE_CORRECT
@115858 tells me my iPhone battery is fine yet I can’t go more than 2 hours without charging...,BATTERY_CHARGING_POWER,CASE_003297,0.7754,CASE_000413,4.0636,CASE_003297,NO_CHANGE_CORRECT
Why the search tool on iOS 11 doesn’t find apps by name if they’re partially written? @AppleSupport,OS_UPDATE_SYSTEM_PERFORMANCE,CASE_001645,0.7364,CASE_001645,4.5428,CASE_001645,NO_CHANGE_CORRECT
"Yo, @115858 and @AppleSupport, fix your uppercased letter “i” issue. @AppleSupport @485691 Go beta, @485691! 11.1 seems to have it fixed. I ",GENERAL_DEVICE_INQUIRY,CASE_004575,0.8645,CASE_002601,3.1361,CASE_004575,NO_CHANGE_CORRECT
".@115858 this I️ glitch is the worst thing ever. How is this not fixed yet??? @AppleSupport Thank you for your response.  I have done that, ",OS_UPDATE_SYSTEM_PERFORMANCE,CASE_003624,0.7391,CASE_003624,6.1448,CASE_003624,NO_CHANGE_CORRECT
"@115858 TAKE OFF THAT AUTO BRIGHTNESS BULLSHIT @AppleSupport Thank b, sorry",DISPLAY_TOUCH_SCREEN,CASE_001712,0.9039,CASE_007645,5.5133,CASE_001712,NO_CHANGE_CORRECT
