golden_id,source_id,customer_message,ground_truth_intent,ground_truth_customer_goal,ground_truth_issues,ground_truth_action,escalation_required,evidence_expectation,expected_reply_requirements,edge_case_category,human_reasoning
GOLDEN_0011,SRC_ROOT_1576200,Why does my keyboard make loud clicking sounds even though my ringer is switched to silent? @AppleSupport,KEYBOARD_TYPING_AUTOCORRECT,Mute keyboard clicking sounds while device is on silent,"[""keyboard_clicks_audible_on_silent"", ""audio_feedback_bug""]",ANSWER,False,STRONG_HISTORICAL_EVIDENCE,"[""Guide user to permanently toggle off Keyboard Clicks: Settings > Sounds & Haptics > Keyboard Clicks (toggle OFF)"", ""Mention restarting the device if the silent switch is not muting system sounds properly"", ""Do not ask user to wipe or restore their device""]","[""CLEAR_INTENT"", ""STRONG_EVIDENCE""]",Direct setting exists to disable keyboard clicks in Sounds & Haptics. Safe to auto-handle directly.
GOLDEN_0012,SRC_ROOT_1576550,@AppleSupport Dictation button on my keyboard does not work. When I tap the microphone it immediately beeps and closes without listening.,KEYBOARD_TYPING_AUTOCORRECT,Restore dictation functionality on the on-screen keyboard,"[""keyboard_dictation_failure"", ""microphone_input_abort""]",GUIDE,False,MODERATE_HISTORICAL_EVIDENCE,"[""Instruct user to verify Dictation is enabled: Settings > General > Keyboard > Enable Dictation (toggle off then back on)"", ""Advise checking internet/cellular connectivity since dictation requires connection on older models"", ""Suggest testing Voice Memos to rule out microphone hardware failure""]","[""CLEAR_INTENT""]",Dictation aborting can be software toggle or microphone issue. Toggling dictation setting and checking connectivity are standard historical resolutions.
GOLDEN_0013,SRC_ROOT_1576800,@AppleSupport can you fix the one handed keyboard? It keeps sliding to the right side automatically every time I unlock my phone.,KEYBOARD_TYPING_AUTOCORRECT,Stop the keyboard from defaulting to one-handed right-aligned mode,"[""one_handed_keyboard_stuck"", ""keyboard_alignment_bug""]",ANSWER,False,STRONG_HISTORICAL_EVIDENCE,"[""Explain how to turn off One-Handed Keyboard: tap and hold the globe/emoji key and select the center keyboard icon"", ""Direct user to Settings > General > Keyboard > One Handed Keyboard > select 'Off'"", ""Clear and direct guidance without escalation""]","[""CLEAR_INTENT"", ""STRONG_EVIDENCE""]",One-handed keyboard setting introduced in iOS 11 can be turned off in settings or via the globe key. Standard direct answer.
GOLDEN_0014,SRC_ROOT_1577100,My keyboard freezes my entire phone whenever I try to type in Safari or WhatsApp. Have to hard reset each time. @AppleSupport,KEYBOARD_TYPING_AUTOCORRECT,Prevent system freezes triggered by bringing up the keyboard,"[""keyboard_invoking_system_freeze"", ""multi_app_freeze""]",GUIDE,False,MODERATE_HISTORICAL_EVIDENCE,"[""Recommend resetting Keyboard Dictionary in Settings > General > Reset"", ""Suggest checking if a custom third-party keyboard or text replacement list is corrupt"", ""Advise backing up and updating to the latest iOS version""]","[""MULTI_ISSUE""]",Keyboard trigger causing system freeze is often due to corrupted keyboard cache/text replacements. Multi-symptom but resolvable via standard software troubleshooting.
GOLDEN_0015,SRC_ROOT_1577400,@AppleSupport Tried every workaround for the letter I autocorrect and text replacement doesn't save! I need a real person to fix this bug now.,KEYBOARD_TYPING_AUTOCORRECT,Get human agent assistance for failed text replacement workaround,"[""text_replacement_not_saving"", ""customer_escalation_demand""]",ESCALATE,True,WEAK_HISTORICAL_EVIDENCE,"[""Acknowledge the customer's frustration and explicit request for human support"", ""Provide appropriate escalation transition to Apple Support advisors or official channel"", ""Do not repeat the failed text replacement steps the customer explicitly reported failing""]","[""FOLLOW_UP"", ""UNRESOLVED_FOLLOW_UP"", ""ESCALATION_SENSITIVE""]","Customer explicitly stated all workarounds failed, text replacement does not save, and demands a human agent. Escalation policy applies."
GOLDEN_0016,SRC_ROOT_1577700,@AppleSupport how do I turn off autocorrect completely on iOS 11? I hate it.,KEYBOARD_TYPING_AUTOCORRECT,Completely disable the Auto-Correction feature in iOS settings,"[""disable_autocorrect_feature""]",ANSWER,False,STRONG_HISTORICAL_EVIDENCE,"[""Provide exact navigation: Settings > General > Keyboard"", ""Instruct customer to toggle 'Auto-Correction' switch to OFF"", ""Provide concise, direct answer without asking unnecessary questions""]","[""CLEAR_INTENT"", ""STRONG_EVIDENCE""]",Direct procedural inquiry. Historical evidence provides exact settings path. No escalation or clarification needed.
GOLDEN_0017,SRC_ROOT_1578000,@AppleSupport Why does my iPad keyboard split in half across the screen? Did I get hacked or break it??,KEYBOARD_TYPING_AUTOCORRECT,Rejoin the split keyboard on iPad and understand why it happened,"[""split_keyboard_mode"", ""user_concern_of_hack""]",ANSWER,False,STRONG_HISTORICAL_EVIDENCE,"[""Reassure the customer that the device is not hacked or broken (it is an intentional iPad feature)"", ""Explain how to merge the split keyboard: pinch the two halves together with two fingers, or press and hold the keyboard button in bottom right and tap 'Merge'"", ""Explain how to turn off Split Keyboard in Settings > General > Keyboard""]","[""CLEAR_INTENT"", ""STRONG_EVIDENCE"", ""UNUSUAL_WORDING""]",Common customer misconception regarding the iPad Split Keyboard feature. Can be answered directly with reassurance and gesture instructions.
GOLDEN_0018,SRC_ROOT_1578300,Whenever I tap the space bar twice it no longer inserts a period on iOS 11. Is this a bug? @AppleSupport,KEYBOARD_TYPING_AUTOCORRECT,Restore double-tap spacebar period shortcut,"[""double_space_period_shortcut_disabled""]",ANSWER,False,STRONG_HISTORICAL_EVIDENCE,"[""Clarify that the setting may have been toggled off during update"", ""Provide navigation to re-enable: Settings > General > Keyboard > toggle '.' Shortcut to ON"", ""Direct and concise answer""]","[""CLEAR_INTENT"", ""STRONG_EVIDENCE""]",Specific setting '.' Shortcut can be toggled on/off in keyboard settings. Standard direct answer.
GOLDEN_0019,SRC_ROOT_262192,@AppleSupport help me my MacBook won’t charge or turn on,BATTERY_CHARGING_POWER,Get non-responsive MacBook to charge and power on,"[""macbook_not_charging"", ""macbook_not_powering_on""]",GUIDE,False,STRONG_HISTORICAL_EVIDENCE,"[""Provide systematic hardware checks: test known working wall outlet, inspect MagSafe/USB-C cable and adapter"", ""Provide key combination to reset the SMC (System Management Controller) on Mac"", ""Advise leaving connected to power for 15-30 minutes before re-attempting power on""]","[""CLEAR_INTENT"", ""STRONG_EVIDENCE""]",Mac power troubleshooting has clear historical procedure: SMC reset and power adapter verification. Safe to guide directly.
GOLDEN_0020,SRC_ROOT_1835059,@AppleSupport can do one! Upgrade is next month and I’m moving to Samsung. Battery life after the 11.0.3 update is literally down to 3 hours with minimal use.,BATTERY_CHARGING_POWER,Mitigate rapid battery drain after iOS 11.0.3 update,"[""severe_battery_drain"", ""customer_churn_threat""]",GUIDE,False,STRONG_HISTORICAL_EVIDENCE,"[""De-escalate empathetically without sounding dismissive"", ""Direct customer to check app battery usage in Settings > Battery to identify rogue background apps"", ""Suggest managing Background App Refresh and Location Services to improve battery endurance"", ""Mention updating to the latest iOS patch which includes power optimizations""]","[""CLEAR_INTENT"", ""STRONG_EVIDENCE"", ""ESCALATION_SENSITIVE""]",High-churn frustration due to iOS 11 battery drain. Solid historical evidence for battery troubleshooting; auto-handling with guidance is appropriate.
GOLDEN_0021,SRC_ROOT_262203,@115858 when are you going to do something to fix that battery issue since iOS11?!! Going from 100% to 20% in 90 minutes just listening to Spotify.,BATTERY_CHARGING_POWER,Resolve rapid battery discharge during music streaming on iOS 11,"[""rapid_battery_drain"", ""high_battery_consumption_app""]",GUIDE,False,STRONG_HISTORICAL_EVIDENCE,"[""Acknowledge rapid drain during music streaming"", ""Suggest checking for Spotify app updates in App Store"", ""Advise checking Settings > Battery > Battery Usage to see if Spotify background audio is consuming disproportionate power"", ""Recommend enabling Low Power Mode during playback""]","[""CLEAR_INTENT"", ""STRONG_EVIDENCE""]",Clear symptom with app context. Historical evidence supports checking app updates and background usage.
GOLDEN_0022,SRC_ROOT_262214_T1,@115858 worse update regarding battery life. It just sucks. Can’t be charging my phone three times a day. Fix this asap.,BATTERY_CHARGING_POWER,Improve general daily battery life requiring multiple recharges,"[""frequent_recharging_needed"", ""battery_degradation""]",GUIDE,False,STRONG_HISTORICAL_EVIDENCE,"[""Provide evidence-backed battery optimization steps: Low Power Mode, brightness adjustment, disabling unused Background App Refresh"", ""Instruct user to check Settings > Battery for top consuming apps"", ""Do not ask for immediate hardware replacement before checking battery software settings""]","[""CLEAR_INTENT"", ""STRONG_EVIDENCE""]",Standard complaint about general battery longevity after updating. Auto-handling with standard battery optimization guide is standard Apple Support procedure.
GOLDEN_0023,SRC_ROOT_262214_T2,"@AppleSupport Yes, at 1st I thought it could be an internal problem w/ my battery. I updated to 11.1, turned off background refresh and location, still dead by noon.",BATTERY_CHARGING_POWER,Address persistent severe battery drain after completing standard troubleshooting,"[""persistent_battery_drain"", ""troubleshooting_already_attempted"", ""potential_hardware_degradation""]",ESCALATE,True,WEAK_HISTORICAL_EVIDENCE,"[""Recognize this as a follow-up where background refresh and location have already been disabled"", ""Do not repeat the already attempted battery settings tweaks"", ""Recommend running remote hardware battery diagnostics or scheduling an appointment at an Apple Store / Authorized Service Provider""]","[""FOLLOW_UP"", ""UNRESOLVED_FOLLOW_UP"", ""ESCALATION_SENSITIVE""]",Customer explicitly attempted primary battery troubleshooting steps. Persistent rapid drain points to physical battery wear requiring diagnostics/escalation.
GOLDEN_0024,SRC_ROOT_1835100,My iPhone screen is popping off on the side and the battery feels hot and swollen! Is this dangerous? @AppleSupport,BATTERY_CHARGING_POWER,Safely handle physically swollen and overheating battery lifting the display,"[""swollen_battery"", ""hardware_safety_hazard"", ""screen_lifting""]",ESCALATE,True,NO_HISTORICAL_EVIDENCE_REQUIRED,"[""Immediately instruct customer to disconnect from charger and stop using the device for safety"", ""Warn customer not to puncture or apply pressure to the swollen enclosure"", ""Provide urgent escalation to Apple Support or nearest Apple Authorized Service Provider for physical inspection""]","[""SAFETY_SENSITIVE"", ""ESCALATION_SENSITIVE""]","Swollen battery is an acute safety hazard (fire/explosion risk). Requires immediate emergency escalation and safety instructions, never software troubleshooting."
GOLDEN_0025,SRC_ROOT_1835250,@AppleSupport My iPhone 6 turns off suddenly whenever battery reaches 30% or 40% and says connect to charger. When I plug it in it shows 35% immediately.,BATTERY_CHARGING_POWER,Resolve unexpected device shutdown at 30-40% charge level,"[""unexpected_shutdown"", ""inaccurate_battery_percentage"", ""voltage_drop""]",GUIDE,False,STRONG_HISTORICAL_EVIDENCE,"[""Explain that unexpected shutdowns at 30-40% typically indicate chemical battery aging / peak power delivery limitations"", ""Advise backing up device and updating to latest iOS version"", ""Suggest having the battery tested for service/replacement if issue recurs""]","[""CLEAR_INTENT"", ""STRONG_EVIDENCE""]",Classic symptom of degraded iPhone 6 battery unable to support peak power. Historical evidence supports explaining battery health and replacement options.
GOLDEN_0026,SRC_ROOT_1835400,@AppleSupport phone won't charge with any cable. says 'this accessory may not be supported' even with the official apple cable that came in the box.,BATTERY_CHARGING_POWER,Overcome 'accessory may not be supported' error with original charging cable,"[""accessory_not_supported_error"", ""charging_refusal"", ""original_cable_rejected""]",GUIDE,False,STRONG_HISTORICAL_EVIDENCE,"[""Instruct customer to inspect and gently clean the Lightning port for lint/debris with a non-conductive tool (e.g. wooden toothpick)"", ""Suggest checking the cable pins for corrosion or dirt and testing another wall outlet"", ""Advise restarting the device and ensuring iOS is up to date""]","[""CLEAR_INTENT"", ""STRONG_EVIDENCE""]",Lint in the Lightning port is the overwhelming primary cause of 'accessory not supported' with official cables. Clear guidance procedure.
GOLDEN_0027,SRC_ROOT_1835600,@AppleSupport My phone gets burning hot while charging and stops at 80%. Is my phone ruined?,BATTERY_CHARGING_POWER,Understand why iPhone stops charging at 80% when overheating,"[""device_overheating_while_charging"", ""charging_paused_at_80_percent""]",ANSWER,False,STRONG_HISTORICAL_EVIDENCE,"[""Reassure customer that charging pauses at 80% as a built-in safety feature to protect battery longevity when the device gets too warm"", ""Advise removing heavy cases while charging and keeping the phone away from direct sunlight or hot environments"", ""Explain that charging will resume once the device cools down""]","[""CLEAR_INTENT"", ""STRONG_EVIDENCE""]",Built-in iOS thermal protection stops charging at 80% when battery temperature rises. Direct informational answer resolves customer anxiety.
GOLDEN_0028,SRC_ROOT_1835750,@AppleSupport battery,BATTERY_CHARGING_POWER,Get assistance with unspecified battery issue,"[""unspecified_battery_symptom""]",CLARIFY,False,INSUFFICIENT_HISTORICAL_EVIDENCE,"[""Politely ask the customer to describe what is happening with their battery (rapid drain, charging failure, unexpected shutdown)"", ""Ask what device model and iOS version they are currently using"", ""Keep the response open and helpful""]","[""SHORT_VAGUE"", ""INSUFFICIENT_EVIDENCE""]","Single word query ('battery'). Impossible to know whether customer is facing drain, charging failure, swelling, or settings inquiry. Must clarify."
GOLDEN_0029,SRC_ROOT_1835900,Can I leave my iPhone 8 plugged in overnight on the wireless charging pad or will it destroy the battery health? @AppleSupport,BATTERY_CHARGING_POWER,Confirm safety of overnight wireless charging on iPhone 8,"[""overnight_charging_safety"", ""wireless_charging_battery_health""]",ANSWER,False,STRONG_HISTORICAL_EVIDENCE,"[""Confirm that it is completely safe to leave the iPhone on a certified Qi wireless charger overnight"", ""Explain that iOS automatically manages the charging cycle and prevents overcharging"", ""Direct answer without requiring follow-up questions""]","[""CLEAR_INTENT"", ""STRONG_EVIDENCE""]",Factual procedural safety question. Fully answerable with standard Apple battery management facts.
GOLDEN_0030,SRC_ROOT_1836100,"@AppleSupport I’ve cleaned the port, tried 3 different apple cables and 2 wall plugs. iPad still shows black screen with red empty battery icon and won’t turn on.",BATTERY_CHARGING_POWER,Revive iPad stuck on low battery screen after testing multiple chargers,"[""ipad_stuck_on_red_battery_icon"", ""cables_and_adapters_already_tested"", ""fails_to_boot""]",GUIDE,False,STRONG_HISTORICAL_EVIDENCE,"[""Acknowledge that multiple cables and plugs have already been tested"", ""Instruct user to perform a force restart while connected to a known working high-wattage iPad power adapter (hold Home + Top button for at least 15 seconds)"", ""Advise that if the Apple logo does not appear after 30 minutes of continuous charging and force restart, service will be required""]","[""FOLLOW_UP"", ""UNRESOLVED_FOLLOW_UP"", ""STRONG_EVIDENCE""]",Stuck on red battery icon after testing chargers. Force restart while connected to wall power is the required technical step before escalating to hardware service.
GOLDEN_0031,SRC_ROOT_1836300,"@AppleSupport My iPhone X battery percentage jumps from 85% to 54% in a second, and then back up to 70% when I plug it in. What is going on?",BATTERY_CHARGING_POWER,Fix erratic battery percentage fluctuations on iPhone X,"[""erratic_battery_percentage"", ""battery_calibration_failure""]",GUIDE,False,MODERATE_HISTORICAL_EVIDENCE,"[""Explain that erratic battery percentage reading is often caused by uncalibrated battery management software or a failing cell"", ""Instruct customer to perform a force restart and update iOS to the latest version"", ""Suggest full discharge and recharge cycle or seeking diagnostic testing if jumps persist""]","[""CLEAR_INTENT""]","Erratic battery percentage jumps indicate calibration or hardware failure. Software troubleshooting first, with mention of diagnostic check."
GOLDEN_0032,SRC_ROOT_1836500,Why does Low Power Mode turn off automatically when my phone hits 80% charge? Can I keep it on permanently? @AppleSupport,BATTERY_CHARGING_POWER,Understand Low Power Mode behavior and attempt to keep it enabled indefinitely,"[""low_power_mode_auto_disable"", ""feature_behavior_clarification""]",ANSWER,False,STRONG_HISTORICAL_EVIDENCE,"[""Explain that Low Power Mode is designed by default to automatically turn off once the battery reaches 80% charge"", ""Clarify that it cannot be set to remain on permanently by default, but can be manually re-enabled at any time in Settings > Battery or Control Center"", ""Provide direct, concise factual explanation""]","[""CLEAR_INTENT"", ""STRONG_EVIDENCE""]",Standard behavioral inquiry about iOS Low Power Mode. Direct answer based on documented iOS design.
GOLDEN_0033,SRC_ROOT_1836700,@AppleSupport charging port is completely loose and the cable falls right out by gravity alone. Can this be fixed without replacing the entire phone?,BATTERY_CHARGING_POWER,Determine repair options for loose Lightning charging port,"[""loose_charging_port"", ""physical_hardware_connector_issue""]",GUIDE,False,STRONG_HISTORICAL_EVIDENCE,"[""Suggest gently inspecting the port for compacted pocket lint that prevents the cable from seating fully (most frequent cause of loose feel)"", ""Advise that if the port is physically damaged or clean and still loose, an Apple Store or Authorized Service Provider can inspect hardware repair options"", ""Helpful guidance balancing software/cleaning check with service referral""]","[""CLEAR_INTENT"", ""STRONG_EVIDENCE""]","Cable falling out is almost always compacted lint preventing plug engagement. Clean check is first step, followed by hardware service referral if genuinely broken."
GOLDEN_0034,SRC_ROOT_1836900,"My Apple Watch Series 3 battery used to last 2 days, now dies in 5 hours after watchOS 4 update. What is eating the battery? @AppleSupport",BATTERY_CHARGING_POWER,Resolve rapid battery drain on Apple Watch after watchOS 4 update,"[""apple_watch_battery_drain"", ""watchos_update_degradation""]",GUIDE,False,STRONG_HISTORICAL_EVIDENCE,"[""Recommend restarting both the Apple Watch and paired iPhone"", ""Suggest unpairing and re-pairing the Apple Watch to clear syncing loops and rebuild watch cache"", ""Advise checking background app refresh and heart rate workout settings on the Watch app""]","[""CLEAR_INTENT"", ""STRONG_EVIDENCE""]",Apple Watch battery drain post-update is a well-documented issue resolved historically by unpairing/re-pairing to clear sync loops.
GOLDEN_0035,SRC_ROOT_1837100,@AppleSupport Fast charging with the 29W USB-C brick is not working on my iPhone 8 Plus. Takes 2.5 hours to reach 100%. Isn't it supposed to be 50% in 30 mins?,BATTERY_CHARGING_POWER,Achieve fast charging speed on iPhone 8 Plus with 29W adapter,"[""fast_charging_not_working"", ""charging_speed_discrepancy""]",GUIDE,False,STRONG_HISTORICAL_EVIDENCE,"[""Confirm that fast charging (up to 50% in 30 mins) requires an Apple USB-C to Lightning cable (not standard USB-A)"", ""Explain that charging slows down significantly past 80% to preserve battery life"", ""Check that customer is testing from 0-50% rather than full 0-100% time""]","[""CLEAR_INTENT"", ""STRONG_EVIDENCE""]",Fast charging specification requires USB-C to Lightning cable and applies specifically to 0% to 50% range. Clear technical guidance.
GOLDEN_0036,SRC_ROOT_1837300,@AppleSupport My phone sparks whenever I plug in the charger and smells like burning plastic! Help!,BATTERY_CHARGING_POWER,Handle electrical sparking and burning odor during charging,"[""electrical_sparking"", ""burning_odor"", ""immediate_fire_hazard""]",ESCALATE,True,NO_HISTORICAL_EVIDENCE_REQUIRED,"[""Immediately direct user to unplug the charger safely (shutting off power at outlet/breaker if needed) and cease using device"", ""Do not suggest troubleshooting, cleaning, or re-testing"", ""Escalate immediately to senior safety support or advise taking directly to Apple Store""]","[""SAFETY_SENSITIVE"", ""ESCALATION_SENSITIVE""]",Electrical spark and burning smell is a severe safety hazard. Requires emergency safety instructions and immediate escalation.
GOLDEN_0037,SRC_ROOT_1837500,Does using an iPad 12W charger damage an iPhone 6s battery? Friends said it degrades it faster. @AppleSupport,BATTERY_CHARGING_POWER,Clarify compatibility and safety of using iPad 12W adapter on iPhone,"[""charger_compatibility_concern"", ""battery_degradation_myth""]",ANSWER,False,CONFLICTING_HISTORICAL_EVIDENCE,"[""Confirm that the Apple 12W USB Power Adapter is fully compatible and safe to use with iPhone 6s"", ""Explain that the iPhone regulates the power intake and will not draw excessive current or damage the battery"", ""Address conflicting online advice regarding battery heat vs safe fast-charging regulation""]","[""CLEAR_INTENT"", ""CONFLICTING_EVIDENCE""]","Inquiry regarding conflicting advice: online claims suggest fast chargers damage batteries, while official documentation confirms iPad 12W adapter is safe and regulated."
GOLDEN_0038,SRC_ROOT_1837700,"@AppleSupport battery drains 40% overnight when phone is not being used at all in airplane mode. iPhone 7, iOS 11.1.",BATTERY_CHARGING_POWER,Stop high overnight standby battery drain while in airplane mode,"[""overnight_standby_battery_drain"", ""drain_in_airplane_mode""]",GUIDE,False,STRONG_HISTORICAL_EVIDENCE,"[""Identify that standby drain in Airplane Mode suggests background process loop or battery cell leakage"", ""Instruct customer to check Settings > Battery > Battery Usage to see if a specific app ran all night"", ""Suggest force restarting the iPhone and testing one night without background apps running""]","[""CLEAR_INTENT"", ""STRONG_EVIDENCE""]",Overnight drain in airplane mode isolates issue away from cellular/wifi antennas toward software background loops or cell degradation. Clear troubleshooting steps exist.
